"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N6_BALF"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N7_BALF"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N8_BALF"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N9_BALF"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N10_BALF"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N11_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N12_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N13_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N14_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N15_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N16_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N17_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N18_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N19_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N20_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
