"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[UVB exposure]"	"Term Source REF"	"Term Accession Number"
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"UVB8"	"Normal"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"UVB9"	"Normal"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"UVB10"	"Normal"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"UVB11"	"Normal"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"UVB12"	"Normal"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS1"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS2"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS3"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS4"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS5"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS6"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS7"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS8"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS9"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS10"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS11"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"SKH HR-1"	""	""	"intestinal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000968"	"Sample collection"	"U+GTS12"	"Green Tea Supplement added"	""	""	"Exposed"	""	""
