"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time after treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Mut4h_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_2"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_3"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_4"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_5"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_6"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_6"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_7"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_7"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_8"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_9"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut4h_10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_10"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
"Mut8h_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_1"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_2"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_3"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_4"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_5"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_6"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_6"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_7"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_7"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_8"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_9"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
"Mut8h_10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut8h_10"	"opr3"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp5"	""	""
