"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exercise]"	"Term Source REF"	"Term Accession Number"
"01_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_1_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"01_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_1_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"01_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_3_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"01_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_3_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"01_4_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_4_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"01_4_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"01_4_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"02_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_1_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"02_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_1_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"02_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_3_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"02_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_3_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
