"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[stress]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"uCol0_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_1"	"Col0"	""	""	"unstressed"	""	""	"1"	""	""
"uCol0_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_2"	"Col0"	""	""	"unstressed"	""	""	"2"	""	""
"uCol0_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_3"	"Col0"	""	""	"unstressed"	""	""	"3"	""	""
"utt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_4"	"tt4"	""	""	"unstressed"	""	""	"1"	""	""
"utt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_5"	"tt4"	""	""	"unstressed"	""	""	"2"	""	""
"utt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_6"	"tt4"	""	""	"unstressed"	""	""	"3"	""	""
"uMYB12OXtt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_7"	"MYB12OXtt4"	""	""	"unstressed"	""	""	"1"	""	""
"uMYB12OXtt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_8"	"MYB12OXtt4"	""	""	"unstressed"	""	""	"2"	""	""
"uMYB12OXtt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_9"	"MYB12OXtt4"	""	""	"unstressed"	""	""	"3"	""	""
"upap1Dtt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_10"	"pap1Dtt4"	""	""	"unstressed"	""	""	"1"	""	""
"upap1Dtt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_11"	"pap1Dtt4"	""	""	"unstressed"	""	""	"2"	""	""
