"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[feeding]"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue source]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1-/- Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src1 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fed_rep1_heart"	"fed"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fed_rep2_heart"	"fed"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fed_rep3_heart"	"fed"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-1+/+ Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src1 wild-type"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fed_rep1_heart"	"fed"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fed_rep2_heart"	"fed"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fed_rep3_heart"	"fed"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2-/- Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src2 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fed_rep1_heart"	"fed"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fed_rep2_heart"	"fed"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fed_rep3_heart"	"fed"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-2+/+ Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src2 wild-type"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fed_rep1_heart"	"fed"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fed_rep2_heart"	"fed"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fed_rep3_heart"	"fed"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3-/- Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src3 knockout"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fed_rep1_heart"	"fed"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fed_rep2_heart"	"fed"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fed_rep3_heart"	"fed"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fed_rep4_heart"	"fed"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fed_rep5_heart"	"fed"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"5"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fasted_rep1_heart"	"fasted"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"1"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fasted_rep2_heart"	"fasted"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"2"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fasted_rep3_heart"	"fasted"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"3"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fasted_rep4_heart"	"fasted"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"4"	""	""
"heart"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"SRC-3+/+ Fasted_rep5_heart"	"fasted"	""	""	"heart"	""	""	"Src3 wild-type"	""	""	"5"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fed_rep1_skeletal_muscle"	"fed"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"1"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fed_rep2_skeletal_muscle"	"fed"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"2"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fed_rep3_skeletal_muscle"	"fed"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"3"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fed_rep4_skeletal_muscle"	"fed"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"4"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fed_rep5_skeletal_muscle"	"fed"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"5"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fasted_rep1_skeletal_muscle"	"fasted"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"1"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fasted_rep2_skeletal_muscle"	"fasted"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"2"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fasted_rep3_skeletal_muscle"	"fasted"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"3"	""	""
"skeletal_muscle"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"SRC-1-/- Fasted_rep4_skeletal_muscle"	"fasted"	""	""	"skeletal_muscle"	""	""	"Src1 knockout"	""	""	"4"	""	""
