"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Antibiotic treatment]"	"Term Source REF"	"Term Accession Number"
"Cr3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr3"	"untreated"	""	""
"Cr4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr4"	"untreated"	""	""
"Cr5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr5"	"untreated"	""	""
"Cr6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr6"	"untreated"	""	""
"Cr7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr7"	"untreated"	""	""
"Cr8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr8"	"untreated"	""	""
"Cr9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr9"	"untreated"	""	""
"Cr10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr10"	"untreated"	""	""
"Cr11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr11"	"untreated"	""	""
"Cr12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Cr12"	"untreated"	""	""
