"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Antibiotic treatment]"	"Term Source REF"	"Term Accession Number"
"SlcA4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA4"	"treated with antibiotics"	""	""
"SlcA5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA5"	"treated with antibiotics"	""	""
"SlcA6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA6"	"treated with antibiotics"	""	""
"SlcA7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA7"	"treated with antibiotics"	""	""
"SlcA8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA8"	"treated with antibiotics"	""	""
"SlcA9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA9"	"treated with antibiotics"	""	""
"SlcA10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA10"	"treated with antibiotics"	""	""
"SlcA11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA11"	"treated with antibiotics"	""	""
"SlcA12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA12"	"treated with antibiotics"	""	""
"SlcA13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6 Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14424"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SlcA13"	"treated with antibiotics"	""	""
