"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"R_01_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_01_1"	"Col-0"	""	""
"R_02_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_02_1"	"Col-0"	""	""
"R_03_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_03_1"	"Col-0"	""	""
"R_04_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_04_1"	"Col-0"	""	""
"R_05_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_05_1"	"Col-0"	""	""
"R_06_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_06_1"	"Col-0"	""	""
"R_07_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_07_1"	"Col-0"	""	""
"R_09_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_09_1"	"Col-0"	""	""
"R_10_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_10_1"	"Col-0"	""	""
"R_11_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_11_1"	"Col-0"	""	""
"R_12_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_12_1"	"Col-0"	""	""
"R_15_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_15_1"	"Col-0"	""	""
"R_16_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_16_1"	"Col-0"	""	""
"R_17_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"R_17_1"	"Col-0"	""	""
