"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple Sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking]"	"Term Source REF"	"Term Accession Number"
"Homogenate_G1_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group1_10p"	"Apple10"	""	""	"GROUP1"	""	""
"Homogenate_G2_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_1p"	"Apple1"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_2p"	"Apple2"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_3p"	"Apple3"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_4p"	"Apple4"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_5p"	"Apple5"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_6p"	"Apple6"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_7p"	"Apple7"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_8p"	"Apple8"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_9p"	"Apple9"	""	""	"GROUP2"	""	""
"Homogenate_G2_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group2_10p"	"Apple10"	""	""	"GROUP2"	""	""
"Homogenate_G3_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_1 p"	"Apple1"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_2p"	"Apple2"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_3p"	"Apple3"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_4p"	"Apple4"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_5p"	"Apple5"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_6p"	"Apple6"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_7p"	"Apple7"	""	""	"GROUP3"	""	""
