"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[season]"	"Unit"	"Term Source REF"	"Term Accession Number"
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1_R1_fruit_2003"	"IL1-1"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1_R2_fruit_2003"	"IL1-1"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1_R3_fruit_2003"	"IL1-1"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1_R4_fruit_2003"	"IL1-1"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-2_R1_fruit_2003"	"IL1-1-2"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-2_R2_fruit_2003"	"IL1-1-2"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-2_R3_fruit_2003"	"IL1-1-2"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-2_R4_fruit_2003"	"IL1-1-2"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-3_R1_fruit_2003"	"IL1-1-3"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-3_R2_fruit_2003"	"IL1-1-3"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
