"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"
"Mouse 04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 04 blood RESV oral"	"RESV oral"	""	""	"blood"	""	""
"Mouse 04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 04 liver RESV oral"	"RESV oral"	""	""	"liver"	""	""
"Mouse 04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 04 dorsal skin RESV oral"	"RESV oral"	""	""	"dorsal skin"	""	""
"Mouse 04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 04 leg skin RESV oral"	"RESV oral"	""	""	"leg skin"	""	""
"Mouse 04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 04 leg muscle RESV oral"	"RESV oral"	""	""	"leg muscle"	""	""
"Mouse 05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 05 blood RESV oral"	"RESV oral"	""	""	"blood"	""	""
"Mouse 05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 05 liver RESV oral"	"RESV oral"	""	""	"liver"	""	""
"Mouse 05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 05 dorsal skin RESV oral"	"RESV oral"	""	""	"dorsal skin"	""	""
"Mouse 05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 05 leg skin RESV oral"	"RESV oral"	""	""	"leg skin"	""	""
"Mouse 05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 05 leg muscle RESV oral"	"RESV oral"	""	""	"leg muscle"	""	""
"Mouse 06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 06 blood RESV oral"	"RESV oral"	""	""	"blood"	""	""
"Mouse 06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 06 liver RESV oral"	"RESV oral"	""	""	"liver"	""	""
"Mouse 06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 06 dorsal skin RESV oral"	"RESV oral"	""	""	"dorsal skin"	""	""
"Mouse 06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 06 leg skin RESV oral"	"RESV oral"	""	""	"leg skin"	""	""
"Mouse 06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 06 leg muscle RESV oral"	"RESV oral"	""	""	"leg muscle"	""	""
"Mouse 07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 07 blood control skin"	"control skin"	""	""	"blood"	""	""
"Mouse 07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 07 liver control skin"	"control skin"	""	""	"liver"	""	""
"Mouse 07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 07 dorsal skin control skin"	"control skin"	""	""	"dorsal skin"	""	""
