"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Injection batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extraction method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"
"20160502_030"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_030"	"B1"	""	""	"methanol"	""	""	"control"	""	""
"20160502_031"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_031"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_032"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_032"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_033"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_033"	"B1"	""	""	"methanol"	""	""	"control"	""	""
"20160502_034"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_034"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_036"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_036"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160502_037"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_037"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_038"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_038"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160502_040"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_040"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_041"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_041"	"B1"	""	""	"methanol"	""	""	"control"	""	""
"20160502_042"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_042"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160502_043"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_043"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_044"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_044"	"B1"	""	""	"methanol"	""	""	"control"	""	""
"20160502_045"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_045"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160502_046"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_046"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
