"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample location]"	"Term Source REF"	"Term Accession Number"
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_021"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_022"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_023"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_024"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_025"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_026"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_027"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_028"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_031"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_032"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_034"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_035"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_036"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_037"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_038"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_039"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_040"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_041"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_042"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_043"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_044"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_046"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_047"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_048"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_049"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_050"	"Leaf tissue"	""	""
