"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CM source]"	"Term Source REF"	"Term Accession Number"
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_D6_1"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_D6_2"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_D6_3"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM1m_1"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM1m_2"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM1m_3"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM1m_1"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM1m_2"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM1m_3"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM3m_1"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
