"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[CarbonDioxide_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CarbonDioxide_Quantity_after_01d]"	"Unit"	"Term Source REF"	"Term Accession Number"
"rg1"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_9"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg6"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_25"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg6"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_43"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg6"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_61"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg6"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_7"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg5"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_16"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg5"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_34"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg5"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_52"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg5"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_70"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg4"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_10"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg4"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_28"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg4"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_46"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg4"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_64"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
