"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"PE-EAT-2-3"	"Extraction"	""	"none"	"EAT-2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-EAT-2-3"	"PE_eat-2_3.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-EAT-2-RPA-1"	"Extraction"	""	"none"	"EAT-2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-EAT-2-RPA-1"	"PE_eat-2-RPA1.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-EAT-2-RPA-2"	"Extraction"	""	"none"	"EAT-2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-EAT-2-RPA-2"	"PE_eat-2-RPA2.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-EAT-2-RPA-3"	"Extraction"	""	"none"	"EAT-2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-EAT-2-RPA-3"	"PE_eat-2-RPA3.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-ALLAN-1"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-ALLAN-1"	"PE_Allan1.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-ALLAN-2"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-ALLAN-2"	"PE_Allan2.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-ALLAN-3"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-ALLAN-3"	"PE_Allan3.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-N2-1"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-N2-1"	"PE_N2_1.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-N2-2"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-N2-2"	"PE_N2_2.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
"PE-N2-3"	"Extraction"	""	"none"	"N2-PE"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"PE-N2-3"	"PE_N2_3.d.7z"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls648_PE_mass_spectrometry_v2_maf.tsv"
