"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment days]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Calanus1"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC01"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus2"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC02"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus3"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"P_ExBlank1"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus4"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus5"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus6"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus7"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus8"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_06"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus9"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_06"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus10"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus11"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus12"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus13"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus14"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_03"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
