"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Nano material]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.01"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.02"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.01"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.02"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.03"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.03"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.0h.R1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.0h.R1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.0h.R1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.0h.R1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.04"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.3h.R1"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.3h.R1"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.3h.R1"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.3h.R1"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.04"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.05"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.6h.R1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.6h.R1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
