"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[material sample]"	"Term Source REF"	"Term Accession Number"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person4_Blood1"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person4_Plasma1"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"erythrocyte "	"BTO"	""	"Sample collection"	"Person4_RBC1"	"erythrocyte "	"BTO"	""
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person4_Blood2"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person4_Plasma2"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"erythrocyte "	"BTO"	""	"Sample collection"	"Person4_RBC2"	"erythrocyte "	"BTO"	""
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person4_Blood3"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person4_Plasma3"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"erythrocyte "	"BTO"	""	"Sample collection"	"Person4_RBC3"	"erythrocyte "	"BTO"	""
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person4_Blood4"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person4_Plasma4"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"erythrocyte "	"BTO"	""	"Sample collection"	"Person4_RBC4"	"erythrocyte "	"BTO"	""
