"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Carbon dioxide treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Incubation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C60_3"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T00_3"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T05_3"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T10_3"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T30_3"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T60_3"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C00_4"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C05_4"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C10_4"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C30_4"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C60_4"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T00_4"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T05_4"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T10_4"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T30_4"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Guard cells"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T60_4"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C00_5"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C05_5"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C10_5"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C30_5"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"C60_5"	"400"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T00_5"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T05_5"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T10_5"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T30_5"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
""	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal"	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"T60_5"	"800"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
