"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Pitcher plant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"amp1"	"Nepenthes ampullaria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150949"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"amp1"	"Nepenthes ampullaria"	""	""	"1"	""	""
"amp2"	"Nepenthes ampullaria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150949"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"amp2"	"Nepenthes ampullaria"	""	""	"2"	""	""
"amp3"	"Nepenthes ampullaria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150949"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"amp3"	"Nepenthes ampullaria"	""	""	"3"	""	""
"amp4"	"Nepenthes ampullaria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150949"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"amp4"	"Nepenthes ampullaria"	""	""	"4"	""	""
"amp5"	"Nepenthes ampullaria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150949"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"amp5"	"Nepenthes ampullaria"	""	""	"5"	""	""
"raff1"	"Nepenthes rafflesiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150990"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"raff1"	"Nepenthes rafflesiana"	""	""	"1"	""	""
"raff2"	"Nepenthes rafflesiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150990"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"raff2"	"Nepenthes rafflesiana"	""	""	"2"	""	""
"raff3"	"Nepenthes rafflesiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150990"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"raff3"	"Nepenthes rafflesiana"	""	""	"3"	""	""
"raff4"	"Nepenthes rafflesiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150990"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"raff4"	"Nepenthes rafflesiana"	""	""	"4"	""	""
"raff5"	"Nepenthes rafflesiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150990"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"raff5"	"Nepenthes rafflesiana"	""	""	"5"	""	""
"hook1"	"Nepenthes x hookeriana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1610511"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"hook1"	"Nepenthes x hookeriana"	""	""	"1"	""	""
"hook2"	"Nepenthes x hookeriana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1610511"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"hook2"	"Nepenthes x hookeriana"	""	""	"2"	""	""
"hook3"	"Nepenthes x hookeriana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1610511"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"hook3"	"Nepenthes x hookeriana"	""	""	"3"	""	""
"hook4"	"Nepenthes x hookeriana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1610511"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"hook4"	"Nepenthes x hookeriana"	""	""	"4"	""	""
"hook5"	"Nepenthes x hookeriana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1610511"	"whole plant"	"EFO"	"http://purl.obolibrary.org/obo/PO_0000003"	"Sample collection"	"hook5"	"Nepenthes x hookeriana"	""	""	"5"	""	""
"blank"	"blank"	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"blank"	"None"	""	""	"1"	""	""
