"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101220_104"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_103"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_06_22_E30_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101220_103"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_108"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101210_104"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_109"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101210_101"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110202_204"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_107"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110204_109"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110202_205"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_104"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110202_108"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101210_102"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110202_209"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_07_Bend_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101214_102"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_06_22_E23_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_07_Thir_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_22_E13_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_26_E14_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_12_Rous_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_07_Dasi_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110204_105"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110629_110"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110630_103"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110630_102"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_07_Abid_Centri"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas101221_105"	"Case"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_22_E3_Centri"	"Control"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_22_E9_Centri"	"Control"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_12_E12_Centri"	"Control"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_26_E17_Centri"	"Control"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"10_04_26_E18_Centri"	"Control"	"NCIT"	""
"batch1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"pas110204_108"	"Control"	"NCIT"	""
