"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[GM41]"	"Term Source REF"	"Term Accession Number"	"Factor Value[BT03]"	"Term Source REF"	"Term Accession Number"
"3"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"control 1"	"-"	""	""	"-"	""	""
"4"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"control 2"	"-"	""	""	"-"	""	""
"5"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"control 3"	"-"	""	""	"-"	""	""
"6"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BT03 1"	"-"	""	""	"+"	""	""
"7"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BT03 2"	"-"	""	""	"+"	""	""
"8"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BT03 3"	"-"	""	""	"+"	""	""
"12"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41 1"	"+"	""	""	"-"	""	""
"13"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41 2"	"+"	""	""	"-"	""	""
"14"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41 3"	"+"	""	""	"-"	""	""
"15"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41+BT03 1"	"+"	""	""	"+"	""	""
"16"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41+BT03 2"	"+"	""	""	"+"	""	""
"17"	"Populus deltoides"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3696"	"Populus deltoides var. WV94"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GM41+BT03 3"	"+"	""	""	"+"	""	""
