"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"PAK-2-1-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-2-1-P"
"PAK-3-1-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-3-1-P"
"PAK-4-1-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-4-1-P"
"PAK-5-1-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-5-1-P"
"PAK-1-4-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-1-4-P"
"PAK-2-4-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-2-4-P"
"PAK-3-4-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-3-4-P"
"PAK-4-4-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-4-4-P"
"PAK-5-4-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-5-4-P"
"PAK-1-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-1-24-P"
"PAK-2-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-2-24-P"
"PAK-3-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-3-24-P"
"PAK-4-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-4-24-P"
"PAK-5-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-5-24-P"
"PAK_Control_1h_1"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_Control_1h_1"
"PAK_Control_1h_2"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_Control_1h_2"
"PAK_Control_1h_3"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_Control_1h_3"
"PAK_Control_1h_4"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_Control_1h_4"
"PAK_PMB8_1h_1"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_PMB8_1h_1"
"PAK_PMB8_1h_2"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_PMB8_1h_2"
"PAK_PMB8_1h_3"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_PMB8_1h_3"
"PAK_PMB8_1h_4"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK_PMB8_1h_4"
