"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Sample1"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample1"	"Blank 1_050218.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample2"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample2"	"Blank 1_050219.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample3"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample3"	"KIT2-0-8115_1015571446_01_0_1_1_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample4"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample4"	"KIT2-0-8115_1015571446_01_0_1_2_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample5"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample5"	"KIT2-0-8115_1015571446_01_0_1_3_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample6"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample6"	"KIT2-0-8115_1015571446_02_0_1_1_16_437345.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample7"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample7"	"KIT2-0-8115_1015571446_03_0_1_1_00_1015570655.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample8"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample8"	"KIT2-0-8115_1015571446_04_0_1_1_00_1015570738.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample9"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample9"	"KIT2-0-8115_1015571446_05_0_1_1_00_1015570811.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample10"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample10"	"KIT2-0-8115_1015571446_06_0_1_1_00_1015570897.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
