"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[brown planthopper treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time course]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T2-3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T3-1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T3-2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T3-3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T4-1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T4-2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T4-3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T8-1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T8-2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T8-3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC1-1"	"NO"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC1-2"	"NO"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC1-3"	"NO"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC2-1"	"NO"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC2-2"	"NO"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC2-3"	"NO"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC3-1"	"NO"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC3-2"	"NO"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC3-3"	"NO"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC4-1"	"NO"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC4-2"	"NO"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC4-3"	"NO"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC8-1"	"NO"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC8-2"	"NO"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDC8-3"	"NO"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT1-1"	"YES"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT1-2"	"YES"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT1-3"	"YES"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT2-1"	"YES"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT2-2"	"YES"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT2-3"	"YES"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT3-1"	"YES"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT3-2"	"YES"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT3-3"	"YES"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT4-1"	"YES"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT4-2"	"YES"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT4-3"	"YES"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT8-1"	"YES"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT8-2"	"YES"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-KDT8-3"	"YES"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308C1"	"NO"	""	""	"UBN3078-101-432-6-308 "	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308C2"	"NO"	""	""	"UBN3078-101-432-6-308 "	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308C3"	"NO"	""	""	"UBN3078-101-432-6-308"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308C4"	"NO"	""	""	"UBN3078-101-432-6-308"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308C8"	"NO"	""	""	"UBN3078-101-432-6-308"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308T1"	"YES"	""	""	"UBN3078-101-432-6-308"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308T2"	"YES"	""	""	"UBN3078-101-432-6-308"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308T3"	"YES"	""	""	"UBN3078-101-432-6-308"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308T4"	"YES"	""	""	"UBN3078-101-432-6-308"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL308"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL308T8"	"YES"	""	""	"UBN3078-101-432-6-308"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7C1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7C2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7C3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7C4"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7C8"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7T1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7T2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7T3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7T4"	"YES"	""	""	"UBN3078-101-342-4-7 "	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-IL7T8"	"YES"	""	""	"UBN3078-101-342-4-7 "	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-KDC1"	"NO"	""	""	"KDML105"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-KDC2"	"NO"	""	""	"KDML105"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-KDC3"	"NO"	""	""	"KDML105"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-KDC4"	"NO"	""	""	"KDML105"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. KD"	""	""	"root hair"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001804"	"Sample collection"	"R-KDC8"	"NO"	""	""	"KDML105"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
