"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[brown planthopper treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time course]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C1-1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C1-2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C1-3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C2-1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C2-2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C2-3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C3-1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C3-2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C3-3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C4-1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
