"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[aging]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"24W-5"	"5"	""	""	"24"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"24W-6"	"6"	""	""	"24"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"24W-7"	"7"	""	""	"24"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"24W-8"	"8"	""	""	"24"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-1"	"1"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-2"	"2"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-3"	"3"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-4"	"4"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-5"	"5"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-6"	"6"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
