"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time after Inoculation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"KR51-6c_24hDex-24hH2O_1-B,3_01_9102"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6c_24hDex-24hH2O_1-B,3_01_9102"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_6hDex-24hH2O_1-A,5_01_10177"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6c_6hDex-24hH2O_1-A,5_01_10177"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_6hDex-24hH2O_1-A,5_01_9096"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6c_6hDex-24hH2O_1-A,5_01_9096"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_1-C,8_01_10193"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4a_24hDex-24hH2O_1-C,8_01_10193"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_24hDex-24hH2O_1-C,8_01_9112"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4a_24hDex-24hH2O_1-C,8_01_9112"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-C,2_01_10187"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4a_6hDex-24hH2O_1-C,2_01_10187"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-C,2_01_9106"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4a_6hDex-24hH2O_1-C,2_01_9106"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-D,2_01_10195"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4b_24hDex-24hH2O_1-D,2_01_10195"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-D,2_01_9114"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4b_24hDex-24hH2O_1-D,2_01_9114"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-C,4_01_10189"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4b_6hDex-24hH2O_1-C,4_01_10189"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-C,4_01_9108"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4b_6hDex-24hH2O_1-C,4_01_9108"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_24hDex-24hH2O_1-D,4_01_10197"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4c_24hDex-24hH2O_1-D,4_01_10197"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_24hDex-24hH2O_1-D,4_01_9116"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4c_24hDex-24hH2O_1-D,4_01_9116"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_6hDex-24hH2O_1-C,6_01_10191"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-DD55-4c_6hDex-24hH2O_1-C,6_01_10191"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4c_6hDex-24hH2O_1-C,6_01_9110"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-DD55-4c_6hDex-24hH2O_1-C,6_01_9110"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_1-C,7_01_10192"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6a_24hDex-24hH2O_1-C,7_01_10192"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_24hDex-24hH2O_1-C,7_01_9111"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6a_24hDex-24hH2O_1-C,7_01_9111"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-C,1_01_10186"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6a_6hDex-24hH2O_1-C,1_01_10186"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-C,1_01_9105"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6a_6hDex-24hH2O_1-C,1_01_9105"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-D,1_01_10194"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6b_24hDex-24hH2O_1-D,1_01_10194"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-D,1_01_9113"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6b_24hDex-24hH2O_1-D,1_01_9113"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-C,3_01_10188"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6b_6hDex-24hH2O_1-C,3_01_10188"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-C,3_01_9107"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6b_6hDex-24hH2O_1-C,3_01_9107"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_24hDex-24hH2O_1-D,3_01_10196"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6c_24hDex-24hH2O_1-D,3_01_10196"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_24hDex-24hH2O_1-D,3_01_9115"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6c_24hDex-24hH2O_1-D,3_01_9115"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_6hDex-24hH2O_1-C,5_01_10190"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E554-KR51-6c_6hDex-24hH2O_1-C,5_01_10190"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_6hDex-24hH2O_1-C,5_01_9109"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E554-KR51-6c_6hDex-24hH2O_1-C,5_01_9109"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_1-A,6_01_7368"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-DD55-4a_24hDex-24hH2O_1-A,6_01_7368"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-A,2_01_7364"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-DD55-4a_6hDex-24hH2O_1-A,2_01_7364"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-A,8_01_7370"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-DD55-4b_24hDex-24hH2O_1-A,8_01_7370"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-A,4_01_7366"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-DD55-4b_6hDex-24hH2O_1-A,4_01_7366"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_1-A,5_01_7367"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-KR51-6a_24hDex-24hH2O_1-A,5_01_7367"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-A,1_01_7363"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-KR51-6a_6hDex-24hH2O_1-A,1_01_7363"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-A,7_01_7369"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-KR51-6b_24hDex-24hH2O_1-A,7_01_7369"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-A,3_01_7365"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E545-KR51-6b_6hDex-24hH2O_1-A,3_01_7365"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_2-A,6_01_7388"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4a_24hDex-24hH2O_2-A,6_01_7388"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_2-A,2_01_7384"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4a_6hDex-24hH2O_2-A,2_01_7384"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_2-A,8_01_7390"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4b_24hDex-24hH2O_2-A,8_01_7390"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_2-A,4_01_7386"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4b_6hDex-24hH2O_2-A,4_01_7386"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_2-A,5_01_7387"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6a_24hDex-24hH2O_2-A,5_01_7387"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_6hDex-24hH2O_2-A,1_01_7383"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6a_6hDex-24hH2O_2-A,1_01_7383"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6b_24hDex-24hH2O_2-A,7_01_7389"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6b_24hDex-24hH2O_2-A,7_01_7389"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6b_6hDex-24hH2O_2-A,3_01_7385"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6b_6hDex-24hH2O_2-A,3_01_7385"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_24hDex-24hH2O_1-B,6_01_7379"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4a_24hDex-24hH2O_1-B,6_01_7379"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-B,2_01_7373"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4a_6hDex-24hH2O_1-B,2_01_7373"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-B,8_01_7381"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4b_24hDex-24hH2O_1-B,8_01_7381"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-B,4_01_7377"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4b_6hDex-24hH2O_1-B,4_01_7377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_1-B,5_01_7378"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6a_24hDex-24hH2O_1-B,5_01_7378"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-B,1_01_7372"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6a_6hDex-24hH2O_1-B,1_01_7372"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-B,7_01_7380"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6b_24hDex-24hH2O_1-B,7_01_7380"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-B,3_01_7376"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6b_6hDex-24hH2O_1-B,3_01_7376"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_2-B,5_01_7397"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4a_24hDex-24hH2O_2-B,5_01_7397"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_6hDex-24hH2O_2-B,2_01_7393"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4a_6hDex-24hH2O_2-B,2_01_7393"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4b_24hDex-24hH2O_2-B,7_01_7399"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4b_24hDex-24hH2O_2-B,7_01_7399"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4b_6hDex-24hH2O_2-B,3_01_7395"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4b_6hDex-24hH2O_2-B,3_01_7395"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_24hDex-24hH2O_2-B,4_01_7396"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_KR51-6a_24hDex-24hH2O_2-B,4_01_7396"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
