"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time after Inoculation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"DD55-4b_24hDex-24hH2O_2-A,8_01_7410"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4b_24hDex-24hH2O_2-A,8_01_7410"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_2-A,4_01_7404"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_DD55-4b_6hDex-24hH2O_2-A,4_01_7404"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_2-A,5_01_7405"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6a_24hDex-24hH2O_2-A,5_01_7405"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_2-A,1_01_7401"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6a_6hDex-24hH2O_2-A,1_01_7401"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_2-A,7_01_7407"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6b_24hDex-24hH2O_2-A,7_01_7407"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_2-A,3_01_7403"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E545_KR51-6b_6hDex-24hH2O_2-A,3_01_7403"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_1-B,6_01_7359"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4a_24hDex-24hH2O_1-B,6_01_7359"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_1-B,2_01_7355"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4a_6hDex-24hH2O_1-B,2_01_7355"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_1-B,8_01_7361"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4b_24hDex-24hH2O_1-B,8_01_7361"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_1-B,4_01_7357"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-DD55-4b_6hDex-24hH2O_1-B,4_01_7357"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
