"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Vaccination]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T6_R2_Non-Vaccinated_110923_Darren_019"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7596_T6_R2_Non-Vaccinated_110923_Darren_020"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T6_R2_Non-Vaccinated_110923_Darren_021"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T6_R3_Vaccinated_110923_Darren_023"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T6_R3_Vaccinated_110923_Darren_024"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T6_R3_Vaccinated_110923_Darren_025"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T6_R3_Non-Vaccinated_110923_Darren_026"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7596_T6_R3_Non-Vaccinated_110923_Darren_027"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T6_R3_Non-Vaccinated_110923_Darren_028"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T6_R4_Vaccinated_110923_Darren_030"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T6_R4_Vaccinated_110923_Darren_031"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T6_R4_Vaccinated_110923_Darren_032"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T6_R4_Non-Vaccinated_110923_Darren_033"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7596_T6_R4_Non-Vaccinated_110923_Darren_034"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T6_R4_Non-Vaccinated_110923_Darren_035"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T6_R5_Vaccinated_110923_Darren_037"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T6_R5_Vaccinated_110923_Darren_038"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T6_R5_Vaccinated_110923_Darren_039"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T6_R5_Non-Vaccinated_110923_Darren_040"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7596_T6_R5_Non-Vaccinated_110923_Darren_041"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T6_R5_Non-Vaccinated_110923_Darren_042"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T6_R1_Vaccinated_120210_Darren_015"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T6_R1_Vaccinated_120210_Darren_016"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T6_R1_Vaccinated_120210_Darren_017"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T6_R1_Non-Vaccinated_120210_Darren_018"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T6_R1_Non-Vaccinated_120210_Darren_023"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T6_R1_Non-Vaccinated_120210_Darren_026"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T6_R2_Vaccinated_120210_Darren_029"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T6_R2_Non-Vaccinated_120210_Darren_030"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T6_R2_Vaccinated_120210_Darren_033"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T6_R2_Non-Vaccinated_120210_Darren_035"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T6_R2_Vaccinated_120210_Darren_036"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
