"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Vaccination]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T6_R4_Vaccinated_120210_Darren_072"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T6_R4_Non-Vaccinated_120210_Darren_073"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T6_R5_Non-Vaccinated_120210_Darren_075"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T6_R4_Non-Vaccinated_120210_Darren_078"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T6_R5_Vaccinated_120210_Darren_079"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T6_R5_Vaccinated_120210_Darren_081"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T6_R5_Non-Vaccinated_120210_Darren_084"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T6_R5_Vaccinated_120210_Darren_085"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R5"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_120210_Darren_088"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_004"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_005"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_006"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_007"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_008"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T0_R1_Non-Vaccinated_121026_DG_009"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T2_R1_Vaccinated_121026_DG_010"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T2_R1_Vaccinated_121026_DG_011"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T14_R1_Non-Vaccinated_121026_DG_012"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T0_R1_Vaccinated_121026_DG_013"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T14_R1_Non-Vaccinated_121026_DG_014"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T2_R1_Non-Vaccinated_121026_DG_015"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T0_R1_Non-Vaccinated_121026_DG_016"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T14_R1_Vaccinated_121026_DG_017"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T20_R1_Non-Vaccinated_121026_DG_018"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T0_R1_Non-Vaccinated_121026_DG_019"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T2_R1_Vaccinated_121026_DG_020"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T0_R1_Non-Vaccinated_121026_DG_021"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7595_T2_R1_Non-Vaccinated_121026_DG_022"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T20_R1_Vaccinated_121026_DG_023"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_024"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T14_R1_Vaccinated_121026_DG_025"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T2_R1_Non-Vaccinated_121026_DG_026"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T2_R1_Non-Vaccinated_121026_DG_027"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T20_R1_Non-Vaccinated_121026_DG_028"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T14_R1_Vaccinated_121026_DG_029"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T2_R1_Vaccinated_121026_DG_030"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T2_R1_Non-Vaccinated_121026_DG_031"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T20_R1_Vaccinated_121026_DG_032"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T0_R1_Non-Vaccinated_121026_DG_033"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T0_R1_Vaccinated_121026_DG_034"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T2_R1_Vaccinated_121026_DG_035"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T14_R1_Non-Vaccinated_121026_DG_036"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T2_R1_Vaccinated_121026_DG_037"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7595_T0_R1_Non-Vaccinated_121026_DG_038"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T20_R1_Vaccinated_121026_DG_039"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_121026_DG_040"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T2_R1_Non-Vaccinated_121026_DG_041"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T0_R1_Vaccinated_121026_DG_042"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T0_R1_Vaccinated_121026_DG_043"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T0_R1_Vaccinated_121026_DG_044"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T20_R1_Non-Vaccinated_121026_DG_045"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T0_R1_Vaccinated_121026_DG_046"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T2_R2_Non-Vaccinated_121026_DG_047"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T0_R2_Non-Vaccinated_121026_DG_048"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T2_R2_Vaccinated_121026_DG_049"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T14_R2_Non-Vaccinated_121026_DG_050"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T20_R2_Vaccinated_121026_DG_051"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T20_R2_Non-Vaccinated_121026_DG_052"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7595_T0_R2_Non-Vaccinated_121026_DG_053"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T0_R2_Vaccinated_121026_DG_054"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Vaccinated"	""	""
