"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Nutritional status]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"34"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"35"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"36"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"37"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"38"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"39"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"40"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"41"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"42"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"70"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"71"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"72"	"Fed state, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"73"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"74"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"75"	"Fasted, normal chow diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"76"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"77"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"78"	"High fat diet"	""	""	"wild type organism genotype information"	""	""
