"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"
"WB_ASWAT_06_03_12_POS_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_20"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_21"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_22"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_23"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_24"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_25"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_26"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_27"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_31"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_32"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_33"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_34"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_35"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_36"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_37"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_38"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_38"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_39"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_40"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_44"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_45"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_46"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_46"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_47"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_48"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_49"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_49"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_50"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_51"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_52"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_53"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_53"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_57"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_58"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_59"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_60"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_61"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_61"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_62"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_62"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_63"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_63"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_64"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_64"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
