"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"
"CC_WB_BAT_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_17"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_18"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_19"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_20"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_21"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_24"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_25"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_26"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_27"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_28"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_29"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_30"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_31"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_32"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_33"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_36"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_37"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_38"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_38"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
