"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[gentotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[carbon source]"	"Term Source REF"	"Term Accession Number"
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK13"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"glycerol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17754"
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK14"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"glycerol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17754"
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK07"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"13C-glycerol"	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK08"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"13C-glycerol"	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK15"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"13C-glycerol"	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"JK16"	"gene knockdown by RNA interference"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002434"	"13C-glycerol"	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"Pooled_8"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"Pooled_9"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"Pooled_10"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"Pooled_11"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std1_1"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std1_2"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std2_1"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std2_2"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std3_1"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"standard "	"MS"	""	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Std3_2"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank1"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank2"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank3"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank4"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank5"	""	""	""	""	""	""
"JK, DH group, University of Dudee"	"blank"	""	""	""	""	""	"matrix"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0002743"	"Sample collection"	"Matrix_blank6"	""	""	""	""	""	""
