"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[rice seed developmental stage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[different cultivar]"	"Term Source REF"	"Term Accession Number"
"S017"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-42-G-1"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S018"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-42-G-2"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S019"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-42-G-3"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S020"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-42-G-4"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S021"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-7-G-1"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S022"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-7-G-2"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S023"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-7-G-3"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S024"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-7-G-4"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S025"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-10-G-1"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S026"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-10-G-2"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S027"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-10-G-3"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S028"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-10-G-4"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S029"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-14-G-1"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S030"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-14-G-2"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S031"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-14-G-3"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S032"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-14-G-4"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S033"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-28-G-1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S034"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-28-G-2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S035"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-28-G-3"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S036"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-28-G-4"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S037"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-42-G-1"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S038"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-42-G-2"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S039"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-42-G-3"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S040"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nipponbare"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0007587"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Nip-42-G-4"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nipponbare"	""	""
"S041"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-7-G-1"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S042"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-7-G-2"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S043"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-7-G-3"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S044"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-7-G-4"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S045"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-10-G-1"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S046"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-10-G-2"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S047"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-10-G-3"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S048"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-10-G-4"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S049"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-14-G-1"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S050"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-14-G-2"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S051"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-14-G-3"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S052"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-14-G-4"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S053"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-28-G-1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S054"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-28-G-2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S055"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-28-G-3"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S056"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-28-G-4"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S057"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-42-G-1"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S058"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-42-G-2"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S059"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-42-G-3"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
