"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[rice seed developmental stage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[different cultivar]"	"Term Source REF"	"Term Accession Number"
"S071"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-14-G-3"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S072"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-14-G-4"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S073"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-28-G-1"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S074"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-28-G-2"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S075"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-28-G-3"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S076"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-28-G-4"	"28"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S077"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-42-G-1"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S078"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-42-G-2"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S079"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-42-G-3"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S080"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-42-G-4"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S081"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"blank"	"N/A"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"blank"	""	""
