"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Species]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"PG lipid standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample Collection"	"PG lipid standard"
"PI lipid standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample Collection"	"PI lipid standard"
"PS lipid standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample Collection"	"PS lipid standard"
"CID_MSMS_437"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_437"
"CID_MSMS_697"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_697"
"CID_MSMS_780"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_780"
"CID_MSMS_806"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_806"
"CID_MSMS_810"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_810"
"CID_MSMS_844"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_844"
"CID_MSMS_Validation_1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_1"
"CID_MSMS_Validation_2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_2"
"CID_MSMS_Validation_3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_3"
"CID_MSMS_Validation_4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_4"
"CID_MSMS_Validation_5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_5"
