"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Aza treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Hxa treatment ]"	"Term Source REF"	"Term Accession Number"
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrA_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrA_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrA_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrB_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrB_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrB_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrC_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrC_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_0hrC_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrA_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrA_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrA_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrB_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrB_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrB_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
