"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A9_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A9_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A10_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A10_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A10_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A10_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A11_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A11_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A11_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A11_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A12_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A12_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A12_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A12_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A13_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A13_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A13_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A13_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A14_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A14_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A14_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A14_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A15_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A15_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A15_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A15_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B1_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B1_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B1_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B1_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B2_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B2_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B2_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B2_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B3_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B3_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B3_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B3_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B4_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"B4_Rep2_pos"	"Rep2"	""	""
