"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[infection]"	"Term Source REF"	"Term Accession Number"
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300001"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300002"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300003"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300004"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300005"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300006"	"AI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300007"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300008"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300009"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300010"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300011"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300012"	"CI"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300013"	"Control"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300014"	"Control"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300015"	"Control"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300016"	"Control"	""	""
"mus serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"P1602300017"	"Control"	""	""
