"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Term Source REF"	"Term Accession Number"
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b3_r001"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b3_r002"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b1_r001"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b1_r002"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b2_r001"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b2_r002"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b3_r001"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_177b3_r002"	"Batch 2"	""	""	"Plastic container, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b1_r001"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b1_r002"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
