"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Term Source REF"	"Term Accession Number"
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_051b3_r002"	"Batch 3"	""	""	"Aerobic pond for POME treatment, Tenamaran Palm Oil Mill, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b1_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b1_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b2_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b2_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b3_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_084b3_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b1_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b1_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b2_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b2_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b3_r001"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_087b3_r002"	"Batch 2"	""	""	"Digested POME, enriched with goat dung, IPSP Farm, University of Malaya"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b1_r001"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b1_r002"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b2_r001"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b2_r002"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b3_r001"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_094b3_r002"	"Batch 2"	""	""	"Tenamaran Palm Oil Factory, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b1_r001"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b1_r002"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b2_r001"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_104b2_r002"	"Batch 2"	""	""	"Muddy water of Sementa Mangrove, Selangor"	""	""	"stationary phase culture"	""	""
