"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Panda mother]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Mother age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"1"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL1"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"2"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL2"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"3"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL3"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL4"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"5"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL5"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL6"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL7"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"8"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL8"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"9"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL9"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"11"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL11"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"12"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL12"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
