"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Deletion]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[OD600]"	"Term Source REF"	"Term Accession Number"
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303679"	"UraHisMet"	""	""	"Exp3"	""	""	"0.54"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D315765"	"UraHisMet"	""	""	"Exp4"	""	""	"0.796"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303648"	"UraLeuMet"	""	""	"Exp1"	""	""	"0.888"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303664"	"UraLeuMet"	""	""	"Exp2"	""	""	"0.92"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303680"	"UraLeuMet"	""	""	"Exp3"	""	""	"0.968"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D315766"	"UraLeuMet"	""	""	"Exp4"	""	""	"0.864"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D315787"	"UraLeuMet"	""	""	"Exp3"	""	""	"0.968"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303649"	"UraLeuHis"	""	""	"Exp1"	""	""	"0.856"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D303665"	"UraLeuHis"	""	""	"Exp2"	""	""	"0.652"	""	""
"Yeast Cultures"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D315767"	"UraLeuHis"	""	""	"Exp3"	""	""	"0.724"	""	""
