"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Growth Year]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CB2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_14CC1B_Z"	"Previous"	""	""	"154OE"	""	""
