"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[life stage]"	"Term Source REF"	"Term Accession Number"
"Photinus pyralis adult male hemolymph"	"Photinus pyralis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7054"	""	""	""	"hemolymph"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000572"	"Sample collection"	"Ppyr_hemolymph_extract"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Photinus pyralis larval extract"	"Photinus pyralis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7054"	""	""	""	"Body minus 2 posterior segments"	""	""	"Sample collection"	"L1_body_50ACN_5uL"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Photinus pyralis larval extract"	"Photinus pyralis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7054"	""	""	""	"Body minus 2 posterior segments"	""	""	"Sample collection"	"L2_body_50ACN_5uL"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Photinus pyralis larval extract"	"Photinus pyralis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7054"	""	""	""	"Body minus 2 posterior segments"	""	""	"Sample collection"	"L3_body_50ACN_5uL"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Ignelater luminosus adult head"	"Ignelater luminosus"	"NCBITAXON"	""	"Ignelater luminosus str. Illiger 1807"	""	""	"Prothorax plus head"	""	""	"Sample collection"	"pyrophorus_head"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Ignelater luminosus adult thorax"	"Ignelater luminosus"	"NCBITAXON"	""	"Ignelater luminosus str. Illiger 1807"	""	""	"Mesothorax through the 2 most anterior abdominal segments"	""	""	"Sample collection"	"pyrophorus_thorax"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Ignelater luminosus adult tail"	"Ignelater luminosus"	"NCBITAXON"	""	"Ignelater luminosus str. Illiger 1807"	""	""	"Posterior 3 abdominal segments"	""	""	"Sample collection"	"pyrophorus_tail"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis larval extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_LarvaeWB_1"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Aquatica lateralis larval extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_LarvaeWB_2"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Aquatica lateralis larval extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_LarvaeWB_3"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
