"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Substrate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Labeling]"	"Term Source REF"	"Term Accession Number"
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh22_AQ_13C_15"	"Glucose"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh22_AQ_13CGln_116"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh22_AQ_13CGln_117"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh22_AQ_13CGln_118"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12C_10_TOCSY"	"Glucose"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13CGln_122_HSQC"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13CGln_TOCSY"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13C_23_HSQC"	"Glucose"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"sh00_AQ_13C_23_TOCSY"	"Glucose"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12CGln_109_TOCSY"	"Glutamine"	""	""	"Unlabeled"	""	""
