"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S47"	"CDC1551 M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S48"	"M. bovis BCG wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S49"	"H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S50"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S51"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtB"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S52"	"∆egtB H37Rv M.tuberculosis"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtC"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S53"	"∆egtC CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S54"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtE"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S55"	"∆egtE CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtE"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S56"	"∆egtE H37Rv M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S57"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S58"	"∆egtA+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S59"	"∆egtB+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S60"	"∆egtD+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtAc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S61"	"∆egtAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtBc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S62"	"∆egtBc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
