"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S11"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S12"	"∆egtA+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S13"	"∆egtB+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD+"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S14"	"∆egtD+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtAc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S15"	"∆egtAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtBc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S16"	"∆egtBc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtCc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S17"	"∆egtCc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtDc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S18"	"∆egtDc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshAc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S19"	"∆mshAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S20"	"Stastionnary CDC1551 M.tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S21"	"Stastionnary H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S22"	"Stationnary M.bovis BCG"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S23"	"Stastionnary ∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S24"	"CDC1551 M. tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S25"	"M. bovis BCG wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S26"	"H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"1"	""	""	""	""	""
