"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country]"	"Term Source REF"	"Term Accession Number"
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPIi"	"Phoenix"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPIj"	"Phoenix"	""	""	"Italy"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGa"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGb"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGc"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGd"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGe"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGf"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGg"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGh"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGi"	"Regent"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRGj"	"Regent"	""	""	"Germany"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIa"	"Regent"	""	""	"Italy"	""	""
