"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"WTA19"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA19-11_1-D,4_01_28960"
"WTA19"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA19-12_1-D,4_01_29025"
"WTA19"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA19-21_2-A,7_01_28991"
"WTA19"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA19-22_2-A,7_01_29056"
"WTA29"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA29-11_1-D,3_01_28959"
"WTA29"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA29-12_1-D,3_01_29024"
"WTA29"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA29-21_2-A,6_01_28990"
"WTA29"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA29-22_2-A,6_01_29055"
"WTA33"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA33-11_1-C,5_01_28953"
"WTA33"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA33-12_1-C,5_01_29018"
