"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
""	""	""	""	""	" 407.10036"	""	""	""	" 373.25442"	""	""	""	""	""	""	""	""	""	""	""	" 6.532105"	""	" 6.403905"	" 6.332924"	" 6.523668"	" 6.627597"	""	" 6.365233"	" 6.152869"	" 6.186766"	""	" 5.787881"	""	" 5.908778"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 408.09291"	""	""	""	"1088.24407"	""	""	""	""	""	""	""	""	""	""	""	"11.789246"	"11.978112"	"11.905548"	"11.918546"	"11.803164"	"11.838819"	"11.684582"	"11.624235"	"11.446379"	"11.635397"	"11.643946"	"11.528101"	"11.867901"	"11.721456"	"11.710023"	"11.704122"	"11.621083"	"11.232589"	"11.277989"	"11.837268"	"11.305241"	"11.030241"	"11.362746"
""	""	""	""	""	" 408.93353"	""	""	""	"1140.65282"	""	""	""	""	""	""	""	""	""	""	""	" 7.165626"	" 7.032024"	" 6.641287"	" 7.032321"	" 6.802928"	" 7.145247"	" 6.716245"	" 6.219237"	""	""	" 6.212526"	" 6.192804"	" 5.951642"	" 5.622312"	""	" 5.931332"	""	" 5.446047"	""	" 5.446047"	""	""	""
""	""	""	""	""	" 409.09397"	""	""	""	"1088.36822"	""	""	""	""	""	""	""	""	""	""	""	"12.496585"	"12.514978"	"12.212623"	"12.459044"	"12.542014"	"12.519472"	"12.373373"	"12.131148"	"12.109036"	"12.190595"	"12.156290"	"11.919027"	"12.302837"	"12.333343"	"12.305503"	"12.902258"	"12.411043"	"11.846955"	"11.822353"	"11.841963"	"11.855896"	"11.677826"	"11.812725"
""	""	""	""	""	" 409.09762"	""	""	""	" 373.39381"	""	""	""	""	""	""	""	""	""	""	""	" 8.806293"	" 8.634239"	" 8.712421"	" 8.641696"	" 8.686737"	" 8.695523"	" 8.131851"	" 8.105293"	" 8.148284"	" 8.135535"	" 8.161151"	" 8.266132"	" 8.313248"	" 8.414677"	" 8.402683"	" 8.427528"	" 8.443864"	" 7.521496"	" 7.619860"	" 7.670846"	" 7.733298"	" 7.875041"	" 7.698475"
""	""	""	""	""	" 409.93194"	""	""	""	"1140.68835"	""	""	""	""	""	""	""	""	""	""	""	" 5.587698"	" 6.109781"	""	" 5.634390"	""	""	""	""	""	""	" 5.659287"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 410.09729"	""	""	""	"1088.81985"	""	""	""	""	""	""	""	""	""	""	""	"10.450116"	"10.351569"	"10.884498"	"10.325716"	"10.350903"	"10.835682"	" 9.819688"	"10.096704"	" 9.993191"	"10.626658"	"10.222551"	"10.038292"	" 9.868200"	" 9.842195"	"10.229982"	"10.197186"	"10.226145"	" 9.259568"	" 9.406308"	" 9.824045"	"10.237354"	" 9.884821"	" 9.477025"
""	""	""	""	""	" 410.10296"	""	""	""	" 609.61452"	""	""	""	""	""	""	""	""	""	""	""	" 9.418443"	" 9.570842"	" 9.320323"	" 9.758926"	" 9.604885"	" 9.581029"	" 7.828550"	" 7.844733"	" 7.949619"	" 7.604528"	" 7.771839"	" 7.403280"	" 7.739021"	" 7.963861"	" 7.922220"	" 7.862737"	" 7.830279"	" 7.383433"	" 7.559680"	" 7.681191"	" 7.631121"	" 7.755539"	" 7.679018"
""	""	""	""	""	" 410.10070"	""	""	""	" 373.74598"	""	""	""	""	""	""	""	""	""	""	""	" 7.329874"	" 6.887461"	" 7.145315"	" 6.671952"	" 6.961851"	" 7.099433"	" 6.447629"	" 6.547554"	""	" 6.435702"	""	""	""	" 6.709929"	" 6.770350"	""	""	""	""	""	""	""	""
""	""	""	""	""	" 411.09863"	""	""	""	"1088.82124"	""	""	""	""	""	""	""	""	""	""	""	" 9.100113"	" 9.066167"	" 8.897185"	" 9.180399"	" 9.046571"	" 9.056025"	" 9.525836"	" 8.838998"	" 9.558322"	" 9.523817"	" 8.974920"	" 8.751853"	" 9.594734"	" 9.615316"	" 9.075362"	" 9.635785"	" 9.086604"	" 8.588637"	" 8.294825"	""	" 8.361310"	" 8.449000"	" 8.632640"
""	""	""	""	""	" 411.10614"	""	""	""	" 609.05571"	""	""	""	""	""	""	""	""	""	""	""	" 8.032939"	" 8.188569"	" 8.104583"	" 8.564382"	" 8.370221"	" 8.409451"	" 6.517234"	" 6.670249"	" 6.499703"	" 6.527607"	" 5.949892"	""	""	" 6.223909"	""	" 5.931332"	" 6.638212"	" 5.420730"	""	" 6.043450"	" 6.458688"	" 6.520254"	""
""	""	""	""	""	" 412.10883"	""	""	""	" 607.00706"	""	""	""	""	""	""	""	""	""	""	""	" 5.792818"	" 6.614618"	" 6.417046"	" 6.523668"	" 6.539332"	" 6.625371"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 413.01847"	""	""	""	" 530.80123"	""	""	""	""	""	""	""	""	""	""	""	" 7.807038"	" 7.976865"	" 7.786319"	" 8.042115"	" 7.850941"	" 8.006192"	" 7.311363"	" 7.376728"	" 7.517344"	" 7.176291"	" 7.376667"	" 7.323187"	" 7.310954"	" 7.376939"	" 7.594456"	" 7.185929"	" 7.382282"	" 6.677889"	" 6.795716"	" 6.785615"	" 6.729394"	" 6.722543"	" 6.466829"
""	""	""	""	""	" 414.02205"	""	""	""	" 529.31976"	""	""	""	""	""	""	""	""	""	""	""	" 5.926862"	""	" 5.910602"	" 6.597811"	" 6.183951"	" 5.740230"	" 5.582654"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 414.95351"	""	""	""	"1140.29998"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.956003"	" 6.425593"	" 6.336500"	""	" 6.153583"	""	""	""	""	""	""	""	" 5.789740"	""	""	""	""	""
""	""	""	""	""	" 415.98622"	""	""	""	"  38.98881"	""	""	""	""	""	""	""	""	""	""	""	" 7.271187"	" 7.041868"	""	""	" 7.317279"	""	" 6.849672"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 416.97290"	""	""	""	" 268.80925"	""	""	""	""	""	""	""	""	""	""	""	" 6.769334"	""	" 6.722139"	" 6.496666"	" 6.716629"	" 6.525147"	" 6.904381"	""	" 6.774928"	" 6.577450"	""	""	" 6.480078"	""	""	" 5.304617"	""	""	""	""	""	""	""
""	""	""	""	""	" 418.89512"	""	""	""	"1141.16297"	""	""	""	""	""	""	""	""	""	""	""	" 7.253623"	" 7.228586"	" 7.024279"	" 6.395408"	" 7.273631"	" 7.225167"	" 6.520329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 419.03291"	""	""	""	" 530.78024"	""	""	""	""	""	""	""	""	""	""	""	" 7.512543"	" 7.420732"	" 7.563699"	" 7.515935"	" 7.692148"	" 7.573934"	" 6.536413"	" 6.853139"	" 6.912318"	" 6.523175"	" 6.863883"	" 7.302119"	" 7.257539"	" 7.310015"	" 7.239176"	" 6.903441"	" 7.399762"	""	" 6.866533"	" 6.974307"	" 6.899933"	" 6.965148"	" 6.715645"
""	""	""	""	""	" 419.05523"	""	""	""	" 373.03516"	""	""	""	""	""	""	""	""	""	""	""	" 5.930610"	" 5.752039"	" 6.574723"	""	" 5.746689"	""	" 6.165170"	" 6.126289"	""	" 6.240615"	" 5.901622"	""	" 5.798947"	""	""	""	" 5.667528"	" 5.319531"	" 5.506502"	""	""	""	""
""	""	""	""	""	" 419.23986"	""	""	""	" 997.11119"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.485453"	" 6.201012"	" 6.305077"	" 6.884233"	" 7.442619"	""	""	""	""	""	" 6.277064"	" 6.402116"	""	""	" 5.960345"	" 5.659287"	""	""	""	""	""	""
""	""	""	""	""	" 419.89315"	""	""	""	"1141.25620"	""	""	""	""	""	""	""	""	""	""	""	" 6.128266"	" 5.176556"	" 5.555746"	" 5.546614"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 420.03616"	""	""	""	" 529.86085"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.726092"	" 5.898691"	" 5.958611"	""	""	""	""	""	""	""	" 5.710639"	" 5.572727"	""	""	" 6.257437"	""	""	" 5.495528"	""	""	""	""
""	""	""	""	""	" 420.24920"	""	""	""	" 563.64483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 8.649795"	" 8.805869"	" 8.861348"	""	""	""	""	""	" 7.654481"	" 7.915006"	" 8.046695"	" 7.972958"	" 8.058865"	" 7.990198"	" 6.825231"	" 6.902297"	" 7.217147"	" 7.253861"	" 7.250602"	" 7.218294"
""	""	""	""	""	" 420.97593"	""	""	""	"1102.24625"	""	""	""	""	""	""	""	""	""	""	""	" 8.212822"	" 7.485572"	" 7.206152"	" 7.742964"	" 7.974324"	" 7.805533"	" 8.147506"	""	" 7.474005"	" 8.158476"	" 7.468075"	" 9.061655"	" 9.609983"	""	""	" 8.494530"	""	""	" 8.093660"	""	""	" 6.982759"	" 7.983189"
""	""	""	""	""	" 421.25341"	""	""	""	" 563.47810"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.350100"	" 7.542018"	" 7.569090"	""	""	""	""	""	" 6.527115"	" 6.769541"	" 6.583973"	" 6.513037"	""	" 6.659971"	" 5.758519"	" 5.062485"	""	""	""	" 5.764765"
""	""	""	""	""	" 421.22532"	""	""	""	" 753.11703"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.219279"	" 7.369767"	" 7.353548"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 423.06590"	""	""	""	"1097.67345"	""	""	""	""	""	""	""	""	""	""	""	" 7.314156"	" 7.340991"	""	" 7.023681"	""	" 7.084903"	" 7.112190"	" 6.618664"	" 6.682109"	" 6.910711"	" 6.923692"	" 6.992684"	" 7.271064"	""	""	" 7.111290"	" 7.032914"	" 6.451039"	""	" 6.110527"	" 6.435506"	""	" 6.310587"
""	""	""	""	""	" 422.98463"	""	""	""	" 269.66947"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.540302"	" 6.390912"	" 6.099516"	""	" 6.049088"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 424.06740"	""	""	""	"1097.05936"	""	""	""	""	""	""	""	""	""	""	""	" 8.845506"	" 8.837634"	" 8.873515"	" 8.752775"	" 8.778614"	" 8.588074"	" 8.532600"	" 8.579776"	" 8.359171"	" 8.575554"	" 8.399598"	" 8.823338"	" 8.895989"	" 8.652968"	" 8.637716"	" 8.671741"	" 8.721824"	" 8.108838"	" 8.186700"	" 8.122393"	" 8.066190"	" 7.989815"	" 8.288933"
""	""	""	""	""	" 424.91151"	""	""	""	"1141.07857"	""	""	""	""	""	""	""	""	""	""	""	" 8.684499"	" 8.725487"	" 8.419801"	" 8.461156"	" 8.698498"	" 8.593194"	" 7.674115"	" 7.771415"	" 7.302119"	" 7.423745"	" 7.987649"	" 7.785202"	" 7.153953"	" 7.242626"	" 7.464808"	" 7.280367"	" 7.545931"	" 6.338877"	" 6.509758"	" 6.851007"	" 6.467873"	" 6.275687"	" 7.056934"
""	""	""	""	""	" 425.06823"	""	""	""	"1097.00150"	""	""	""	""	""	""	""	""	""	""	""	" 9.569985"	" 9.581770"	" 9.464778"	" 9.606243"	" 9.502234"	" 9.470519"	" 9.251356"	" 9.280438"	" 9.140779"	" 9.255931"	" 9.332113"	" 9.602754"	" 9.568918"	" 9.525671"	" 9.385770"	" 9.413327"	" 9.482415"	" 8.956771"	" 8.946631"	" 9.012718"	" 8.801666"	" 8.871867"	" 8.875208"
""	""	""	""	""	" 425.06474"	""	""	""	" 373.47998"	""	""	""	""	""	""	""	""	""	""	""	" 7.823244"	" 7.878595"	" 7.992647"	" 7.724429"	" 7.793689"	" 7.744001"	" 7.435721"	" 7.345556"	" 7.309341"	" 7.543488"	" 7.345482"	" 7.073709"	" 7.297647"	" 7.097839"	" 6.795813"	""	""	""	""	""	""	""	""
""	""	""	""	""	" 425.91397"	""	""	""	"1140.85906"	""	""	""	""	""	""	""	""	""	""	""	" 7.197890"	" 7.168037"	" 6.785235"	" 6.764901"	" 7.116758"	" 7.172689"	" 6.025315"	" 6.206447"	""	" 5.790767"	" 6.424156"	""	" 5.882899"	""	""	""	" 5.759482"	""	""	""	""	""	""
""	""	""	""	""	" 426.07226"	""	""	""	"1097.22353"	""	""	""	""	""	""	""	""	""	""	""	""	" 7.434517"	" 7.251004"	" 7.364035"	""	" 7.358912"	" 7.141516"	" 7.003734"	" 7.162806"	" 7.155003"	" 7.243587"	" 7.735797"	" 7.595279"	" 7.293932"	" 7.472329"	" 7.419524"	""	" 6.557619"	" 6.466829"	" 6.237136"	" 6.885264"	""	" 6.880096"
""	""	""	""	""	" 426.90963"	""	""	""	"1141.16297"	""	""	""	""	""	""	""	""	""	""	""	" 6.804792"	" 7.040298"	" 6.555710"	" 6.964831"	" 6.874554"	" 7.127429"	" 6.394782"	""	""	" 5.964669"	" 6.246944"	""	""	""	" 5.700577"	" 5.688141"	" 6.130461"	""	""	""	""	""	" 4.975464"
""	""	""	""	""	" 427.17683"	""	""	""	" 495.90361"	""	""	""	""	""	""	""	""	""	""	""	" 6.097132"	""	" 6.381437"	" 5.815109"	""	" 6.299707"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 429.15482"	""	""	""	" 184.29928"	""	""	""	""	""	""	""	""	""	""	""	" 5.195949"	""	""	""	""	""	""	" 5.851513"	" 6.013500"	" 5.926862"	""	""	""	""	" 5.916051"	""	" 5.680443"	""	""	""	""	""	""
""	""	""	""	""	" 430.92861"	""	""	""	"1140.33499"	""	""	""	""	""	""	""	""	""	""	""	" 8.740542"	" 8.472112"	" 8.222433"	" 8.226935"	" 8.494083"	" 8.481627"	" 7.998308"	" 8.131131"	" 7.531449"	" 7.721157"	" 7.841700"	" 8.156607"	" 7.924533"	" 7.939492"	" 7.834677"	" 7.992544"	" 8.192947"	" 7.555997"	" 7.290042"	" 7.523494"	" 7.128143"	" 7.095144"	" 7.456108"
""	""	""	""	""	" 431.07942"	""	""	""	" 373.74598"	""	""	""	""	""	""	""	""	""	""	""	" 7.711784"	" 7.488414"	" 7.587538"	" 7.669338"	" 7.708529"	" 7.549474"	" 7.181446"	" 6.851718"	""	""	" 7.103152"	""	""	""	""	" 7.310077"	" 6.718010"	""	""	""	""	""	""
""	""	""	""	""	" 431.93175"	""	""	""	"1140.25918"	""	""	""	""	""	""	""	""	""	""	""	" 7.025474"	" 6.975249"	" 6.697153"	" 6.292724"	" 6.931925"	" 7.046167"	""	" 6.261156"	""	" 6.029800"	""	" 6.452099"	" 6.230113"	" 6.163534"	" 6.283358"	" 6.023312"	" 6.343022"	""	" 5.808070"	" 5.581389"	""	" 5.506502"	" 5.887570"
""	""	""	""	""	" 432.92755"	""	""	""	"1140.14635"	""	""	""	""	""	""	""	""	""	""	""	" 6.935110"	" 6.566166"	" 6.069425"	" 6.390348"	" 6.685471"	" 5.925966"	" 6.233801"	" 6.063190"	" 5.707296"	""	" 5.810087"	" 6.162118"	" 6.193056"	" 6.001098"	""	""	" 5.945504"	""	""	""	""	""	" 5.792818"
""	""	""	""	""	" 434.02362"	""	""	""	"1085.36558"	""	""	""	""	""	""	""	""	""	""	""	" 8.396258"	" 8.356743"	" 8.468097"	" 8.337063"	" 8.276358"	" 8.451633"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 434.87388"	""	""	""	"1141.26921"	""	""	""	""	""	""	""	""	""	""	""	" 7.623555"	" 7.602349"	" 7.235389"	" 7.383224"	" 7.485949"	" 7.546818"	""	" 6.690912"	""	""	""	" 6.028182"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 435.02463"	""	""	""	"1085.41790"	""	""	""	""	""	""	""	""	""	""	""	" 8.977757"	" 8.845795"	" 9.310797"	" 9.280501"	" 8.829553"	" 9.035667"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 435.12946"	""	""	""	" 319.76609"	""	""	""	""	""	""	""	""	""	""	""	"12.761362"	"12.743822"	"12.751503"	"12.655222"	"12.675567"	"12.666621"	"12.276981"	"12.269015"	"12.316581"	"12.274389"	"12.299509"	"12.948055"	"12.989612"	"13.002547"	"12.983416"	"12.975080"	"12.988895"	"12.227903"	"12.213194"	"12.228706"	"12.255848"	"12.274351"	"12.296369"
""	""	""	""	""	" 435.10056"	""	""	""	" 372.95918"	""	""	""	""	""	""	""	""	""	""	""	""	" 7.179005"	" 7.126323"	" 6.684212"	" 6.511906"	" 7.080245"	" 6.351603"	" 6.482373"	" 6.507254"	""	""	""	""	""	" 6.628119"	""	" 5.878206"	""	""	""	""	""	""
""	""	""	""	""	" 436.13235"	""	""	""	" 319.72146"	""	""	""	""	""	""	""	""	""	""	""	"11.329688"	"11.303625"	"11.320085"	"11.150051"	"11.181696"	"11.194572"	"10.803582"	"10.832246"	"10.819190"	"10.837030"	"10.857600"	"11.449061"	"11.497831"	"11.483396"	"11.518829"	"11.551452"	"11.574776"	"10.750553"	"10.798201"	"10.806535"	"10.833563"	"10.851990"	"10.855112"
""	""	""	""	""	" 436.94938"	""	""	""	"1140.14635"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.624479"	""	""	" 5.471800"	""	" 7.738875"	" 7.415084"	" 7.898675"	" 7.557928"	" 8.081994"	" 8.082432"	" 7.257657"	" 7.366587"	" 7.745148"	""	" 8.263797"	""	""	" 7.260022"	" 7.514560"	" 8.006416"
""	""	""	""	""	" 436.94930"	""	""	""	"1107.38351"	""	""	""	""	""	""	""	""	""	""	""	" 5.712861"	""	""	""	" 8.808446"	" 8.832793"	""	""	""	" 9.227367"	""	""	""	""	""	""	""	""	" 9.550651"	""	""	""	" 8.971384"
""	""	""	""	""	" 437.13492"	""	""	""	" 319.72591"	""	""	""	""	""	""	""	""	""	""	""	" 9.687592"	" 9.710317"	" 9.707316"	" 9.600592"	" 9.598674"	" 9.651713"	" 9.244691"	" 9.238143"	" 9.271912"	" 9.235461"	" 9.284132"	" 9.910070"	" 9.946821"	" 9.903306"	" 9.911222"	" 9.955010"	" 9.921950"	" 9.135516"	" 9.130970"	" 9.206924"	" 9.220207"	" 9.111948"	" 9.248589"
""	""	""	""	""	" 437.11092"	""	""	""	" 598.01447"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.559456"	""	" 5.998822"	" 6.033834"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 438.13708"	""	""	""	" 319.86118"	""	""	""	""	""	""	""	""	""	""	""	" 7.862382"	" 7.856475"	" 7.852955"	" 7.693374"	" 7.636255"	" 7.653206"	" 7.256160"	" 7.531958"	" 7.464038"	" 7.239255"	" 7.332801"	" 8.127926"	" 8.096378"	" 8.115588"	" 7.988007"	" 7.955647"	" 8.066823"	" 7.405948"	" 7.404917"	" 7.225622"	" 7.168555"	" 7.347774"	" 7.360366"
""	""	""	""	""	" 439.15387"	""	""	""	" 595.35901"	""	""	""	""	""	""	""	""	""	""	""	" 6.560000"	""	""	""	""	" 8.670328"	" 7.575195"	" 5.890550"	""	""	" 8.686444"	" 7.032831"	" 6.942503"	""	""	""	" 7.968606"	""	""	""	""	""	""
""	""	""	""	""	" 440.04084"	""	""	""	"1098.71049"	""	""	""	""	""	""	""	""	""	""	""	" 7.322072"	" 7.161541"	" 7.069874"	" 7.119442"	" 7.271998"	" 7.277817"	" 7.351394"	" 7.307315"	" 6.967683"	" 7.233921"	" 6.909034"	" 7.931558"	" 7.855470"	" 7.493086"	" 7.285729"	" 7.607645"	" 7.478398"	" 7.004345"	" 7.163625"	" 6.729394"	" 6.873512"	" 6.433377"	" 6.944311"
""	""	""	""	""	" 440.88890"	""	""	""	"1141.16297"	""	""	""	""	""	""	""	""	""	""	""	" 9.538966"	" 9.604160"	" 9.227764"	" 9.249743"	" 9.513959"	" 9.446479"	" 8.610299"	" 8.522959"	" 8.229537"	" 8.365071"	" 8.760075"	" 8.397252"	" 8.397631"	" 8.268461"	" 8.253440"	" 8.175320"	" 8.445396"	" 7.555821"	" 7.165704"	" 7.752394"	" 7.368284"	" 7.296340"	" 8.049596"
""	""	""	""	""	" 441.04219"	""	""	""	"1098.80303"	""	""	""	""	""	""	""	""	""	""	""	" 8.172004"	" 8.116792"	" 7.977441"	" 7.927103"	" 8.147992"	" 8.018217"	" 8.157762"	" 8.210359"	" 7.820010"	" 8.178248"	" 7.945700"	" 8.924072"	" 8.943740"	" 8.750702"	" 8.285888"	" 8.528103"	" 8.344359"	" 7.938414"	" 7.973166"	" 7.779878"	" 7.578549"	" 7.366162"	" 7.893674"
""	""	""	""	""	" 441.03521"	""	""	""	" 373.88839"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.820107"	" 6.588145"	" 6.773919"	""	" 6.772731"	""	""	""	""	""	""	""	""	" 6.051486"	""	""	" 5.581500"	""	""	""
""	""	""	""	""	" 441.20269"	""	""	""	" 984.68866"	""	""	""	""	""	""	""	""	""	""	""	" 5.754171"	""	" 5.392463"	""	""	" 5.830027"	""	""	""	""	""	" 6.733802"	" 6.874207"	" 6.313635"	" 6.185220"	" 6.020052"	" 6.464738"	""	""	""	""	""	""
""	""	""	""	""	" 441.25278"	""	""	""	" 734.03028"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.376155"	" 6.570883"	" 6.713607"	" 6.342431"	""	""	""	""	""	""	" 6.221909"	" 6.115733"	" 6.120174"	""	" 6.046634"	" 5.675548"	""	""	""	""	""	""
""	""	""	""	""	" 441.89222"	""	""	""	"1141.06604"	""	""	""	""	""	""	""	""	""	""	""	" 7.098600"	" 7.277121"	" 6.896541"	" 6.906010"	" 6.905673"	" 6.956545"	""	" 6.525639"	""	""	" 6.360598"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 442.04546"	""	""	""	"1098.83567"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.167064"	" 5.896846"	""	" 6.138470"	" 5.742388"	" 5.834100"	" 5.834951"	" 5.428503"	" 5.589320"	""	" 6.167064"	" 6.815535"	" 6.585366"	" 6.175485"	" 6.264358"	" 5.777330"	""	""	""	""	" 5.811093"	""
""	""	""	""	""	" 442.89371"	""	""	""	"  26.09044"	""	""	""	""	""	""	""	""	""	""	""	" 7.362117"	" 7.355053"	" 7.199146"	""	""	""	""	" 5.808118"	""	""	""	""	""	" 6.450103"	""	""	""	""	" 5.783554"	""	""	""	" 5.749902"
""	""	""	""	""	" 442.88853"	""	""	""	"1140.64280"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.946253"	" 6.947222"	" 7.044996"	" 6.863026"	" 6.504743"	""	""	""	""	" 6.387526"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 446.90570"	""	""	""	"1140.67026"	""	""	""	""	""	""	""	""	""	""	""	" 9.692470"	" 9.668705"	" 9.477051"	" 9.429083"	" 9.578055"	" 9.485686"	" 8.691229"	" 8.640571"	" 8.315243"	" 8.610605"	" 8.797120"	" 9.011940"	" 8.804408"	" 8.887719"	" 8.825217"	" 8.777475"	" 9.072550"	" 8.163809"	" 7.883974"	" 8.372088"	" 8.192482"	" 7.984472"	" 8.487529"
""	""	""	""	""	" 447.90803"	""	""	""	"1140.54797"	""	""	""	""	""	""	""	""	""	""	""	" 7.347722"	" 7.213851"	" 7.009214"	" 5.941097"	" 7.225167"	" 6.932581"	" 6.200331"	" 6.295207"	""	" 6.469436"	" 6.335905"	" 6.632033"	" 6.691762"	" 6.873512"	" 6.368119"	" 6.273269"	" 6.841718"	" 6.207801"	" 6.277696"	" 6.114991"	" 6.263078"	""	""
""	""	""	""	""	" 449.10865"	""	""	""	" 320.05721"	""	""	""	""	""	""	""	""	""	""	""	" 6.503737"	" 6.210652"	" 6.520959"	" 6.433576"	" 6.431825"	" 6.540302"	" 6.579541"	" 6.895379"	" 6.996689"	" 7.300305"	" 6.900060"	" 7.841139"	" 7.962021"	" 7.751093"	" 7.716003"	" 7.803478"	" 7.879152"	" 7.152963"	" 7.136813"	" 6.963243"	" 6.900948"	" 7.036247"	" 7.210462"
""	""	""	""	""	" 450.11441"	""	""	""	" 319.48769"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.915355"	" 5.801306"	""	" 5.915145"	""	" 6.966540"	""	" 6.598727"	" 6.499403"	" 6.473076"	" 6.385262"	""	""	" 5.476028"	" 5.788712"	""	""
""	""	""	""	""	" 451.00233"	""	""	""	"1099.57488"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.954261"	" 5.703942"	" 5.605155"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 451.12330"	""	""	""	" 321.19892"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.158812"	" 6.916872"	" 7.181926"	" 6.221981"	" 7.051256"	""	" 7.055670"	" 7.235873"	" 6.900495"	" 7.000677"	" 7.107093"	""	""	""	" 6.017600"	""	""
""	""	""	""	""	" 452.92261"	""	""	""	"1138.95838"	""	""	""	""	""	""	""	""	""	""	""	"10.208027"	"10.015515"	" 9.761307"	" 9.769950"	"10.015846"	"10.113158"	" 9.878485"	" 9.872490"	" 9.309022"	" 9.848551"	" 9.970651"	"10.088234"	"10.191786"	" 9.944294"	" 9.888716"	" 9.986486"	"10.038397"	" 9.731212"	" 9.609269"	" 9.696363"	" 9.312163"	" 9.231408"	" 9.828364"
""	""	""	""	""	" 452.92341"	""	""	""	"1061.22818"	""	""	""	""	""	""	""	""	""	""	""	"10.911785"	""	""	""	""	""	""	""	""	"10.553391"	""	""	""	""	" 8.789831"	" 9.599952"	""	" 8.785586"	""	""	" 7.029945"	""	" 9.509933"
""	""	""	""	""	" 452.92317"	""	""	""	"  25.58352"	""	""	""	""	""	""	""	""	""	""	""	" 9.920806"	" 9.759042"	" 9.745204"	" 6.079475"	" 5.585179"	" 7.997755"	" 8.010662"	" 8.053770"	" 8.041086"	" 8.138950"	" 8.013224"	" 8.330183"	" 8.619082"	" 8.709626"	" 8.655956"	" 8.686883"	" 8.673029"	" 8.239210"	" 8.505707"	" 8.442846"	" 8.478404"	" 8.460216"	" 8.676451"
