"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
""	""	""	""	""	" 180.97303"	""	""	""	"1139.23495"	""	""	""	""	""	""	""	""	""	""	""	" 9.605332"	" 9.170588"	" 9.027027"	" 9.205899"	" 9.350330"	" 9.959091"	""	""	""	""	""	" 8.755532"	" 8.783260"	""	""	" 8.810942"	""	""	""	""	" 7.915006"	""	""
""	""	""	""	""	" 180.97313"	""	""	""	"  24.71144"	""	""	""	""	""	""	""	""	""	""	""	" 9.086464"	" 9.076630"	" 9.362781"	""	""	""	""	" 7.910949"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 182.98879"	""	""	""	"1127.02909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 9.065779"	""	""	""	""	" 9.546100"	"10.026361"	"10.459128"	""	""	""	" 9.588483"	" 8.790956"	""	""	""	""	""	""	""
""	""	""	""	""	" 182.98882"	""	""	""	"1043.93039"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.906998"	" 8.066401"	""	" 8.704924"	""	""	""	""	" 9.579218"	""	""	""	""	""	""	""
""	""	""	""	""	" 185.03566"	""	""	""	" 387.87494"	""	""	""	""	""	""	""	""	""	""	""	" 6.155011"	""	""	""	""	" 6.123945"	" 7.102879"	" 7.256147"	" 7.195373"	" 7.128636"	" 7.032024"	" 7.944816"	" 7.922708"	" 8.022085"	" 8.002038"	" 8.121095"	" 8.152178"	""	" 7.230777"	" 7.424146"	" 7.586966"	" 7.334872"	" 7.161234"
""	""	""	""	""	" 185.03535"	""	""	""	" 165.19281"	""	""	""	""	""	""	""	""	""	""	""	" 7.881947"	" 7.783244"	" 7.726870"	" 7.575141"	" 7.616404"	" 7.431935"	" 7.628294"	" 7.698896"	" 7.722348"	" 7.771817"	" 7.336187"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 185.03592"	""	""	""	" 327.62008"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.417046"	" 6.875596"	" 6.955905"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 187.05119"	""	""	""	" 387.88431"	""	""	""	""	""	""	""	""	""	""	""	" 6.290858"	""	" 5.820107"	" 6.124039"	""	" 6.294648"	" 7.859902"	" 7.794594"	" 7.977858"	" 8.114631"	" 7.757147"	" 8.641779"	" 8.495114"	" 8.551395"	" 8.573507"	" 8.525695"	" 8.516790"	" 7.746586"	" 7.643594"	" 7.788689"	" 7.861573"	" 7.775232"	" 7.895125"
""	""	""	""	""	" 187.05021"	""	""	""	" 194.96743"	""	""	""	""	""	""	""	""	""	""	""	" 6.343613"	""	" 6.571353"	""	" 6.468394"	""	" 6.422519"	""	""	" 6.108415"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 187.09769"	""	""	""	" 308.96217"	""	""	""	""	""	""	""	""	""	""	""	" 7.530549"	" 7.288665"	" 7.021284"	" 7.339683"	""	" 7.049963"	""	" 6.531041"	" 6.539510"	" 6.465261"	""	""	""	" 6.797563"	" 6.807767"	" 7.146306"	" 6.931734"	""	""	" 6.960765"	" 6.264358"	""	""
