"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_MM8_1.F.8_01_5674"	"pos_MM8_1.F.8_01_5683"	"pos_MM8_1.F.8_01_5692"	"pos_MM8_1.F.8_01_5701"	"pos_MM8_1.F.8_01_5710"	"pos_MM8_1.F.8_01_6577"	"pos_MM8_1.F.8_01_6586"	"pos_MM8_1.F.8_01_6595"	"pos_MM8_1.F.8_01_6604"	"pos_MM8_1.F.8_01_6615"	"pos_MM8_1.F.8_01_7103"	"pos_MM8_1.F.8_01_7104"	"pos_MM8_1.F.8_01_7113"	"pos_MM8_1.F.8_01_7122"	"pos_MM8_1.F.8_01_7131"	"pos_MM8_1.F.8_01_7145"	"pos_MM8_1.F.8_01_7153"	"pos_MM8_1.F.8_01_7360"	"pos_MM8_1.F.8_01_7361"	"pos_MM8_1.F.8_01_7362"	"pos_MM8_1.F.8_01_7365"	"pos_MM8_1.F.8_01_7366"	"pos_MM8_1.F.8_01_7394"	"pos_MM8_1.F.8_01_7397"	"pos_MM8_1.F.8_01_7405"	"pos_MM8_1.F.8_01_7414"	"pos_MM8_1.F.8_01_7423"	"pos_MM8_1.F.8_01_7433"
""	""	""	""	""	" 107.07817"	""	""	""	"1096.50866"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.960850"	""	" 7.859870"	" 8.223332"	" 7.650745"	" 7.365257"	" 7.792123"	" 7.505449"	" 7.924411"	" 7.749136"	""	""	" 7.264847"	""	" 6.777026"	""	""	" 7.133998"	""	""	" 7.246956"	""	""	""	""	" 6.916088"
""	""	""	""	""	" 110.04183"	""	""	""	"1088.59142"	""	""	""	""	""	""	""	""	""	""	""	" 9.094563"	" 9.158770"	" 9.100513"	" 9.082535"	" 8.982958"	" 9.391187"	" 8.775781"	" 9.317029"	" 8.804366"	" 8.876541"	" 8.679107"	" 8.955413"	" 8.982430"	" 8.972726"	" 9.454558"	" 9.418294"	" 9.363541"	" 8.945621"	" 8.478385"	" 8.866023"	" 8.139846"	" 8.528662"	" 9.013513"	" 7.953152"	" 8.282428"	" 8.411296"	" 8.920927"	" 8.498682"
""	""	""	""	""	" 110.00894"	""	""	""	"1176.86494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 9.368500"	"10.851584"	" 9.501771"	" 9.689411"	" 9.286748"	" 7.143390"	" 9.904283"	" 9.567406"	" 9.573958"	" 9.507556"	" 8.935970"	" 9.029308"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 110.00878"	""	""	""	"1141.89743"	""	""	""	""	""	""	""	""	""	""	""	" 9.848418"	" 9.474205"	" 9.542646"	" 9.505538"	" 9.517502"	" 9.772870"	""	" 9.533077"	" 5.772991"	""	" 9.183957"	" 9.070966"	" 8.938024"	" 8.860478"	" 9.093173"	""	" 9.080209"	" 7.759487"	" 7.670960"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 111.04282"	""	""	""	"1089.01564"	""	""	""	""	""	""	""	""	""	""	""	"10.562457"	"10.597001"	"10.597995"	"10.554360"	"10.576572"	"10.311549"	"10.369602"	"10.344049"	"10.351090"	"10.406659"	"10.029696"	"10.448732"	" 9.873511"	"10.010427"	"10.397300"	"10.192108"	"10.396606"	" 9.909583"	"10.281992"	" 9.804840"	"10.286686"	" 9.751371"	" 9.933529"	" 9.806049"	" 9.916193"	"10.060686"	" 9.931442"	" 9.969596"
""	""	""	""	""	" 111.09174"	""	""	""	"1132.24920"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.971732"	"12.072998"	"11.521420"	"11.939967"	"11.800893"	"11.262903"	"11.615660"	"11.252020"	"11.128767"	"11.308715"	"11.248263"	"11.454705"	"11.100288"	"10.264533"	"11.236523"	"10.698787"	"11.125631"	"10.505526"	"10.040964"	"10.647621"	" 9.888070"	"10.232533"	"10.766464"
""	""	""	""	""	" 113.07816"	""	""	""	"1087.48574"	""	""	""	""	""	""	""	""	""	""	""	" 8.536509"	" 8.586124"	" 8.441073"	""	" 8.578343"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 113.96356"	""	""	""	"1168.08259"	""	""	""	""	""	""	""	""	""	""	""	" 8.848401"	"10.409732"	"10.197038"	" 6.865482"	"10.233207"	"11.215413"	"11.033333"	"11.465342"	"11.410360"	"11.105440"	"11.104245"	"11.152094"	"10.491566"	"10.676638"	"10.997294"	"10.697745"	" 9.623869"	"11.612285"	" 9.777063"	"11.183256"	"11.925134"	"11.699662"	" 9.761008"	" 8.973879"	" 9.683091"	" 9.371573"	" 8.394317"	" 9.243547"
""	""	""	""	""	" 114.47802"	""	""	""	"1141.57706"	""	""	""	""	""	""	""	""	""	""	""	" 7.251357"	""	" 6.873492"	" 6.915728"	" 6.818082"	" 5.955132"	""	""	""	""	" 6.243000"	" 5.486810"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 117.99674"	""	""	""	"1141.59727"	""	""	""	""	""	""	""	""	""	""	""	" 7.557550"	" 6.901081"	" 7.301718"	" 7.263466"	" 7.192297"	""	""	""	""	""	" 6.312417"	""	""	""	""	" 6.160832"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 121.08343"	""	""	""	"1087.34667"	""	""	""	""	""	""	""	""	""	""	""	" 7.669913"	" 7.865495"	" 7.874362"	""	" 7.971801"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 123.48335"	""	""	""	"1141.93366"	""	""	""	""	""	""	""	""	""	""	""	" 7.219344"	" 6.601426"	" 6.753227"	" 6.480995"	" 6.931728"	" 6.147605"	""	""	""	""	""	" 5.723148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 124.49930"	""	""	""	"1141.30653"	""	""	""	""	""	""	""	""	""	""	""	" 7.217680"	" 6.302384"	" 6.022490"	" 6.439965"	" 6.468536"	""	""	""	""	""	" 6.188290"	" 5.916022"	""	" 5.616514"	""	""	""	""	""	""	""	""	""	""	" 5.000949"	""	""	""
""	""	""	""	""	" 125.98590"	""	""	""	"1141.64757"	""	""	""	""	""	""	""	""	""	""	""	"11.511808"	"10.961133"	"11.002406"	"10.956647"	"11.043606"	"10.695492"	"10.540806"	"10.416352"	"10.538157"	"10.468408"	"10.492309"	"10.271567"	"10.169148"	"10.118449"	"10.392421"	"10.246543"	"10.128677"	" 9.607665"	" 9.415826"	" 9.302528"	" 9.524904"	" 9.538837"	" 9.261164"	" 9.553982"	" 9.722166"	" 9.521388"	" 9.510010"	" 9.293382"
""	""	""	""	""	" 125.98590"	""	""	""	"1176.33996"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.406538"	" 8.682108"	"11.235721"	"10.113988"	"10.419354"	" 9.882298"	" 9.710511"	"10.611175"	" 9.987500"	"10.825680"	"10.582696"	"10.410526"	" 6.793744"	" 9.117004"	" 9.179683"	" 8.994278"	" 9.556730"	" 9.691542"	" 7.249334"	" 9.901959"	" 9.062291"	"10.343262"	" 8.778300"
""	""	""	""	""	" 127.01635"	""	""	""	"1098.21175"	""	""	""	""	""	""	""	""	""	""	""	" 7.198606"	" 6.929649"	""	" 7.106409"	""	""	" 7.173144"	""	""	" 6.832950"	" 7.322281"	" 7.054847"	" 6.957369"	" 6.529229"	" 7.037719"	" 6.346357"	" 6.666317"	""	""	""	" 6.788537"	""	" 6.765371"	" 6.214249"	" 6.533447"	""	""	" 6.510042"
""	""	""	""	""	" 126.99348"	""	""	""	"1142.44215"	""	""	""	""	""	""	""	""	""	""	""	" 8.443400"	" 7.628169"	" 7.828337"	" 7.750288"	" 7.340137"	""	""	""	" 7.093870"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 8.162820"	""	" 8.352711"	""	""	""
""	""	""	""	""	" 128.01873"	""	""	""	"1171.77542"	""	""	""	""	""	""	""	""	""	""	""	" 9.718616"	" 9.020175"	"10.832627"	"10.557824"	" 9.451015"	" 9.279388"	" 9.401669"	"10.780419"	" 8.916648"	" 9.025428"	""	" 9.238780"	" 9.977159"	" 9.842853"	" 8.670600"	""	" 9.665479"	" 8.562441"	""	""	""	" 8.186809"	""	" 7.802712"	""	""	" 8.452825"	" 8.625361"
""	""	""	""	""	" 129.04219"	""	""	""	" 268.27759"	""	""	""	""	""	""	""	""	""	""	""	" 6.688823"	""	" 6.364853"	""	""	" 7.027657"	" 6.547072"	" 6.576216"	""	" 6.931925"	""	" 6.615182"	" 6.647408"	" 6.811313"	" 6.440908"	" 6.330178"	""	" 5.900601"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 130.00790"	""	""	""	"1146.70326"	""	""	""	""	""	""	""	""	""	""	""	"10.956433"	"11.203715"	"11.253936"	"11.025245"	"11.372341"	"11.334315"	"11.062838"	"11.051574"	"11.190823"	"11.318078"	"11.096073"	"11.103378"	"11.095181"	"11.056419"	"11.247132"	" 9.117102"	"11.113071"	" 9.437629"	"10.130185"	"10.351809"	"10.368097"	"10.262973"	"10.668273"	"10.511147"	"10.575997"	"10.397442"	"10.360776"	"10.361230"
""	""	""	""	""	" 130.06524"	""	""	""	" 387.27876"	""	""	""	""	""	""	""	""	""	""	""	" 9.522437"	" 9.560053"	" 9.543359"	" 9.549098"	" 9.585633"	" 9.283628"	" 9.153806"	" 9.313175"	" 9.307937"	" 9.337485"	"10.129211"	"10.148029"	"10.036831"	"10.131780"	"10.191647"	"10.157495"	"10.162046"	" 9.716211"	" 9.651096"	" 9.646828"	" 9.683285"	" 9.662375"	" 9.691308"	" 9.624951"	" 9.660941"	" 9.718473"	" 9.582412"	" 9.723639"
""	""	""	""	""	" 131.06832"	""	""	""	" 387.30364"	""	""	""	""	""	""	""	""	""	""	""	" 7.559155"	" 7.510339"	" 7.398150"	" 7.569090"	" 7.767013"	" 7.333117"	" 7.167519"	" 7.152995"	" 7.325402"	" 7.422898"	" 8.157088"	" 8.172763"	" 7.968589"	" 8.120439"	" 8.083343"	" 8.204037"	" 8.151807"	" 7.569437"	" 7.690061"	" 7.714563"	" 7.645936"	" 7.710675"	" 7.648091"	" 7.566311"	" 7.700386"	" 7.973166"	" 7.554942"	" 7.699016"
""	""	""	""	""	" 130.96577"	""	""	""	"1179.25275"	""	""	""	""	""	""	""	""	""	""	""	" 8.008286"	" 8.348123"	""	" 7.815101"	" 7.958053"	" 8.736342"	" 9.921102"	""	""	" 8.288615"	""	""	""	""	""	""	""	""	""	""	" 5.678998"	""	""	""	""	""	""	""
""	""	""	""	""	" 131.97415"	""	""	""	"1169.43690"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.331566"	"11.471344"	"10.434980"	"10.248174"	" 9.331600"	"10.327772"	" 9.328952"	""	""	""	" 5.068119"
""	""	""	""	""	" 132.48829"	""	""	""	"1141.53706"	""	""	""	""	""	""	""	""	""	""	""	" 7.814276"	" 6.964907"	" 7.071285"	" 6.826580"	" 7.165867"	" 6.790746"	" 5.958657"	""	" 6.427963"	""	" 6.972465"	" 6.291594"	""	""	" 6.103416"	" 6.169807"	""	""	""	""	""	" 6.230867"	""	""	""	""	""	" 5.502205"
""	""	""	""	""	" 135.04417"	""	""	""	"  38.29638"	""	""	""	""	""	""	""	""	""	""	""	"11.392648"	"11.145380"	"11.175540"	"11.429757"	"11.223942"	"10.793424"	"10.790281"	"10.883135"	"11.306947"	"11.358536"	"10.990075"	"10.991927"	"10.906021"	"11.405684"	"11.415504"	"11.414384"	"11.413764"	"10.355350"	"10.888571"	"10.486398"	"10.930112"	"10.931595"	"10.455242"	"10.495903"	"10.534950"	"10.534693"	"10.499122"	"10.599197"
""	""	""	""	""	" 135.04425"	""	""	""	" 267.90333"	""	""	""	""	""	""	""	""	""	""	""	"11.441006"	"11.414945"	"11.447401"	"11.426528"	"11.461633"	"11.559265"	"11.512650"	"11.640294"	"11.590488"	"11.609817"	"11.837888"	"11.834801"	"11.737110"	"11.783129"	"11.790784"	"11.769243"	"11.779474"	"11.377079"	"11.436298"	"11.444207"	"11.394683"	"11.411027"	"11.428135"	"11.358767"	"11.408972"	"11.435120"	"11.390724"	"11.447471"
""	""	""	""	""	" 134.99050"	""	""	""	"1142.17911"	""	""	""	""	""	""	""	""	""	""	""	" 8.151330"	""	""	" 7.492504"	" 7.515338"	""	""	""	""	""	" 6.619854"	" 6.686836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
