"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_MM8_1.F.8_01_5674"	"pos_MM8_1.F.8_01_5683"	"pos_MM8_1.F.8_01_5692"	"pos_MM8_1.F.8_01_5701"	"pos_MM8_1.F.8_01_5710"	"pos_MM8_1.F.8_01_6577"	"pos_MM8_1.F.8_01_6586"	"pos_MM8_1.F.8_01_6595"	"pos_MM8_1.F.8_01_6604"	"pos_MM8_1.F.8_01_6615"	"pos_MM8_1.F.8_01_7103"	"pos_MM8_1.F.8_01_7104"	"pos_MM8_1.F.8_01_7113"	"pos_MM8_1.F.8_01_7122"	"pos_MM8_1.F.8_01_7131"	"pos_MM8_1.F.8_01_7145"	"pos_MM8_1.F.8_01_7153"	"pos_MM8_1.F.8_01_7360"	"pos_MM8_1.F.8_01_7361"	"pos_MM8_1.F.8_01_7362"	"pos_MM8_1.F.8_01_7365"	"pos_MM8_1.F.8_01_7366"	"pos_MM8_1.F.8_01_7394"	"pos_MM8_1.F.8_01_7397"	"pos_MM8_1.F.8_01_7405"	"pos_MM8_1.F.8_01_7414"	"pos_MM8_1.F.8_01_7423"	"pos_MM8_1.F.8_01_7433"
""	""	""	""	""	" 273.25234"	""	""	""	" 424.10819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.432297"	" 6.807462"	""	" 6.836452"	" 6.919715"	" 6.891204"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 273.20374"	""	""	""	" 756.79709"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.399363"	""	""	""	" 6.730999"	" 5.943744"	" 6.332924"	" 6.674076"	""	""	" 6.429048"	" 6.773007"	" 6.782192"	" 6.438225"	""	" 6.525639"	" 6.014937"	""	""	""	" 5.830229"	""	""	" 5.078967"	" 6.247594"	""	""
""	""	""	""	""	" 273.95101"	""	""	""	"1141.15402"	""	""	""	""	""	""	""	""	""	""	""	"10.190233"	" 9.255008"	" 9.232498"	" 9.191621"	" 9.368896"	" 8.613832"	" 8.392643"	" 8.065965"	" 8.380548"	" 8.129250"	" 8.925067"	" 8.414734"	" 7.952198"	" 7.954662"	" 7.963152"	" 8.061962"	" 7.930969"	" 8.475652"	" 8.037120"	" 7.903946"	" 7.906515"	" 7.900173"	" 7.672187"	" 8.241927"	" 8.307778"	" 8.128607"	" 8.083166"	" 8.094922"
""	""	""	""	""	" 274.01214"	""	""	""	" 386.80604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.446047"	""	""	""	""	""	""	""	""	" 7.872247"	" 7.468842"	" 7.536008"	" 7.577114"	" 7.353763"	" 7.076708"	""	""	""	" 5.742643"	""
""	""	""	""	""	" 274.17062"	""	""	""	" 337.58458"	""	""	""	""	""	""	""	""	""	""	""	" 8.454452"	" 8.242069"	" 8.289047"	" 8.359886"	" 8.358083"	" 8.340281"	" 8.179640"	" 8.409031"	" 8.397850"	" 8.460587"	" 7.387459"	" 7.342950"	" 7.370139"	" 7.343879"	" 7.277121"	" 7.182437"	" 7.498981"	" 6.743748"	" 6.820680"	" 6.866481"	" 6.678620"	" 6.950835"	" 7.024705"	" 7.195277"	" 6.973410"	" 6.976819"	" 6.463753"	" 6.793264"
""	""	""	""	""	" 274.13881"	""	""	""	" 260.84143"	""	""	""	""	""	""	""	""	""	""	""	" 7.282910"	" 7.051227"	" 7.297668"	" 7.202083"	" 7.136536"	" 6.945812"	" 6.545625"	" 6.987922"	" 6.811473"	" 6.874901"	" 7.495165"	" 7.483023"	" 7.414444"	" 7.298716"	" 7.396914"	" 7.419927"	" 7.491532"	" 6.934053"	" 6.974097"	" 7.106535"	" 7.273763"	" 7.234177"	" 7.206820"	" 7.282575"	" 7.403634"	" 7.417912"	" 7.184987"	" 7.499428"
""	""	""	""	""	" 274.08527"	""	""	""	" 519.65815"	""	""	""	""	""	""	""	""	""	""	""	" 7.288436"	" 7.325844"	" 7.302572"	" 7.219477"	" 7.314276"	" 7.413018"	" 6.778375"	" 7.228586"	" 7.252940"	" 7.150268"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 274.09786"	""	""	""	" 298.58190"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.956226"	""	" 6.409396"	" 6.354189"	" 7.134774"	" 6.325242"	" 6.579433"	" 6.793624"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 274.12918"	""	""	""	" 373.26943"	""	""	""	""	""	""	""	""	""	""	""	" 8.729965"	" 8.437712"	" 8.357374"	" 8.304754"	" 8.392163"	" 8.658070"	" 8.401788"	" 8.625123"	" 8.643004"	" 8.725923"	" 8.987515"	" 8.990697"	" 8.622409"	" 8.761024"	" 8.831106"	" 8.753455"	" 8.785421"	" 8.774414"	" 8.563035"	" 8.478976"	" 8.614027"	" 8.616601"	" 8.682764"	" 8.522619"	" 8.389574"	" 8.191738"	" 8.105699"	" 8.421396"
""	""	""	""	""	" 274.27356"	""	""	""	" 504.09064"	""	""	""	""	""	""	""	""	""	""	""	"10.696147"	"10.916478"	"10.931240"	"10.876354"	"10.959909"	"10.929623"	"10.783444"	"10.849743"	"10.921383"	"10.897795"	"10.608965"	"10.612431"	"10.539466"	"10.550376"	"10.582008"	"10.561772"	"10.566070"	" 9.660684"	" 9.590977"	" 9.653936"	" 9.550247"	" 9.658656"	" 9.578363"	" 9.651756"	" 9.688875"	" 9.729023"	" 9.689416"	" 9.661376"
""	""	""	""	""	" 274.59581"	""	""	""	" 387.09642"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.202775"	""	""	""	""	""	""	""	""	" 6.982759"	" 7.007086"	" 6.685562"	" 7.165222"	" 7.054615"	" 6.924882"	" 6.857388"	""	" 5.640374"	""	""	""	" 6.195548"	""	""	" 6.199190"	" 5.890572"	""
""	""	""	""	""	" 274.64010"	""	""	""	" 260.73657"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.511944"	""	" 5.834191"	""	""	" 6.088156"	" 5.964735"	" 5.655768"	" 6.106791"	" 5.653415"	" 5.843753"	""	" 5.665125"	""	""	""	" 5.602680"	""	" 5.641644"	""	""	" 5.939329"	""
""	""	""	""	""	" 275.01339"	""	""	""	" 387.55195"	""	""	""	""	""	""	""	""	""	""	""	" 7.284063"	" 7.467499"	" 7.120567"	" 7.300305"	" 7.252910"	" 7.225656"	""	" 7.587539"	" 6.918565"	" 7.517892"	" 7.904724"	" 7.845391"	""	" 7.634879"	" 7.725468"	" 7.645762"	""	" 8.970403"	" 8.773862"	" 8.696316"	" 8.902748"	" 8.853841"	" 8.616950"	" 7.836935"	" 7.799629"	" 7.743242"	" 7.696271"	" 7.741625"
""	""	""	""	""	" 274.94548"	""	""	""	"1140.48947"	""	""	""	""	""	""	""	""	""	""	""	" 7.828317"	""	" 7.056413"	" 7.015228"	" 6.945068"	" 7.361888"	""	""	" 6.857718"	""	" 7.371974"	" 7.107895"	""	""	" 6.838654"	" 6.977628"	" 6.502497"	" 6.539856"	" 6.816675"	" 6.349804"	" 6.627961"	""	""	""	""	" 6.963245"	""	""
""	""	""	""	""	" 275.09163"	""	""	""	" 319.82125"	""	""	""	""	""	""	""	""	""	""	""	"12.588497"	"12.596123"	"12.605077"	"12.580704"	"12.631432"	"12.368097"	"12.382452"	"12.442224"	"12.484199"	"12.512448"	"13.169612"	"13.174417"	"13.056870"	"13.106898"	"13.135923"	"13.099800"	"13.150840"	"12.802012"	"12.797703"	"12.821464"	"12.811192"	"12.805745"	"12.872572"	"12.921248"	"12.892655"	"12.871734"	"12.794360"	"12.944221"
""	""	""	""	""	" 275.11034"	""	""	""	" 154.69032"	""	""	""	""	""	""	""	""	""	""	""	" 7.065005"	" 7.025474"	" 7.014461"	" 7.771754"	" 7.158802"	""	""	""	""	" 7.123009"	""	""	""	" 6.539494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 275.05800"	""	""	""	" 532.29673"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.848967"	""	" 5.629576"	" 5.511944"	""	""	""	""	" 5.125962"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.673241"
""	""	""	""	""	" 275.13986"	""	""	""	" 496.71144"	""	""	""	""	""	""	""	""	""	""	""	" 6.516240"	""	""	" 6.388656"	" 6.804891"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 275.13908"	""	""	""	" 372.78845"	""	""	""	""	""	""	""	""	""	""	""	"13.433346"	"13.427232"	"13.434140"	"13.431997"	"13.469294"	"13.234436"	"13.146465"	"13.303812"	"13.211568"	"13.307424"	"13.348086"	"13.359037"	"13.243714"	"13.330751"	"13.323299"	"13.341551"	"13.347198"	"13.012458"	"13.015530"	"12.979076"	"13.032805"	"13.027401"	"13.033870"	"13.066312"	"13.102592"	"13.118552"	"13.044854"	"13.085721"
""	""	""	""	""	" 275.25735"	""	""	""	" 921.19365"	""	""	""	""	""	""	""	""	""	""	""	" 9.539957"	" 8.919821"	" 8.947986"	" 8.746757"	" 9.138471"	" 8.933821"	" 8.681312"	" 8.251426"	" 8.967879"	" 8.536299"	" 9.196199"	" 9.187024"	" 8.579902"	" 8.494015"	" 8.632041"	" 8.355874"	" 8.458808"	" 9.357201"	" 9.274114"	" 9.281747"	" 9.180364"	" 9.183648"	" 9.020020"	" 8.881016"	" 8.961436"	" 8.670300"	" 8.520484"	" 9.189189"
""	""	""	""	""	" 275.25168"	""	""	""	" 793.93901"	""	""	""	""	""	""	""	""	""	""	""	" 8.716771"	" 8.330362"	" 8.234550"	" 8.047943"	" 8.385516"	" 9.166307"	" 8.996497"	" 8.226306"	" 8.341749"	" 8.441997"	" 9.347426"	""	" 8.688696"	" 8.721866"	" 8.608215"	" 8.775899"	" 8.715010"	" 8.479048"	" 8.428385"	" 8.434945"	" 8.564190"	" 8.577121"	" 8.561750"	" 8.388501"	" 8.564446"	" 8.377744"	" 8.405176"	" 8.645075"
""	""	""	""	""	" 275.27676"	""	""	""	" 504.03892"	""	""	""	""	""	""	""	""	""	""	""	" 9.043634"	" 9.283757"	" 9.206385"	" 9.197272"	" 9.272134"	" 9.251994"	" 9.092289"	" 9.166103"	" 9.223495"	" 9.206317"	" 8.846295"	" 8.980474"	" 8.818378"	" 8.902121"	" 8.918350"	" 8.817421"	" 8.804004"	" 8.058778"	" 8.035410"	" 7.946057"	" 7.940330"	" 7.961670"	" 7.883723"	" 8.002376"	" 8.049637"	" 7.863856"	" 8.076997"	" 8.019729"
""	""	""	""	""	" 275.61345"	""	""	""	" 386.98831"	""	""	""	""	""	""	""	""	""	""	""	" 6.665979"	" 6.823608"	" 6.739384"	" 6.712791"	" 6.639970"	""	" 5.996094"	" 6.119436"	" 6.445484"	" 6.357851"	" 7.987764"	" 8.041951"	" 7.765012"	" 7.950035"	" 8.005407"	" 7.808541"	" 7.762450"	" 7.396708"	" 7.386144"	" 7.404303"	" 7.315926"	" 7.578068"	" 7.385310"	" 7.590725"	" 7.613029"	" 7.712239"	" 7.521006"	" 7.780721"
""	""	""	""	""	" 276.09491"	""	""	""	" 319.66192"	""	""	""	""	""	""	""	""	""	""	""	"10.787699"	"10.753323"	"10.800225"	"10.755225"	"10.829432"	"10.624504"	"10.575869"	"10.692041"	"10.689067"	"10.725958"	"11.340037"	"11.362300"	"11.241874"	"11.263779"	"11.313324"	"11.290721"	"11.307969"	"10.991400"	"10.978056"	"11.025204"	"10.986658"	"10.975523"	"11.055912"	"11.097728"	"11.062059"	"11.063438"	"11.016210"	"11.132595"
""	""	""	""	""	" 276.14164"	""	""	""	" 373.56508"	""	""	""	""	""	""	""	""	""	""	""	"11.665867"	"11.662774"	"11.663200"	"11.669246"	"11.683964"	"11.487362"	"11.404936"	"11.550411"	"11.480627"	"11.528543"	"11.600760"	"11.605620"	"11.485771"	"11.568222"	"11.552105"	"11.590990"	"11.591629"	"11.252724"	"11.270409"	"11.239927"	"11.258221"	"11.241268"	"11.239996"	"11.309440"	"11.357582"	"11.347100"	"11.315025"	"11.339679"
""	""	""	""	""	" 276.27929"	""	""	""	" 503.75670"	""	""	""	""	""	""	""	""	""	""	""	" 6.581818"	" 6.981387"	" 7.101373"	" 7.127947"	" 7.114847"	" 6.992919"	" 6.870177"	" 6.893819"	" 6.996466"	" 6.945129"	" 6.559525"	" 6.736995"	" 6.449064"	" 5.569096"	" 6.535926"	" 6.597502"	" 6.430132"	""	" 6.039548"	""	" 5.842779"	""	""	" 5.772114"	" 5.947405"	""	""	""
""	""	""	""	""	" 276.26063"	""	""	""	" 920.65497"	""	""	""	""	""	""	""	""	""	""	""	" 7.814257"	" 6.662005"	" 7.096318"	" 6.980574"	" 7.469992"	""	" 7.144982"	""	" 6.842077"	" 6.869831"	""	" 7.570996"	" 7.143390"	""	" 7.068158"	" 6.843153"	""	" 7.669652"	" 7.667925"	" 7.654399"	" 7.499428"	""	" 7.376098"	" 7.159192"	""	" 7.167260"	" 6.764513"	" 7.491587"
""	""	""	""	""	" 276.25472"	""	""	""	" 791.54921"	""	""	""	""	""	""	""	""	""	""	""	" 6.901083"	""	" 6.570737"	" 6.017600"	" 6.598269"	" 7.178010"	" 7.032914"	" 6.784095"	""	""	""	""	""	""	""	" 6.928969"	" 7.040592"	""	""	""	""	" 6.583044"	""	""	""	""	""	" 6.995458"
""	""	""	""	""	" 276.61294"	""	""	""	" 386.96775"	""	""	""	""	""	""	""	""	""	""	""	" 6.017325"	""	" 5.596464"	""	""	""	""	""	""	""	" 6.835597"	" 6.493621"	" 6.411437"	" 6.212150"	" 6.607385"	" 6.452629"	""	""	""	" 6.042751"	""	" 6.120174"	" 5.787682"	""	" 6.349503"	" 6.298302"	""	" 6.411542"
""	""	""	""	""	" 276.93423"	""	""	""	" 148.35928"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 8.177986"	""	""	""	" 6.738190"	""	" 8.217697"	" 7.888841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 277.04733"	""	""	""	" 387.27010"	""	""	""	""	""	""	""	""	""	""	""	" 7.026370"	" 6.969264"	" 6.997303"	" 7.102203"	" 7.281754"	""	" 5.865901"	""	" 6.457385"	""	" 7.096933"	" 6.842436"	""	" 6.154655"	""	" 6.584438"	""	" 7.429906"	" 7.382881"	" 7.065450"	" 7.156092"	""	" 7.285677"	" 7.195522"	" 7.366162"	" 7.250909"	" 7.234420"	""
""	""	""	""	""	" 277.03642"	""	""	""	"1086.59575"	""	""	""	""	""	""	""	""	""	""	""	" 8.510684"	" 8.436412"	" 7.830554"	""	" 8.318671"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 277.09689"	""	""	""	" 319.66192"	""	""	""	""	""	""	""	""	""	""	""	" 8.918454"	" 8.871288"	" 8.908971"	" 8.901833"	" 8.885815"	" 8.657488"	" 8.673984"	" 8.660973"	" 8.768892"	" 8.720295"	" 9.465964"	" 9.437283"	" 9.277833"	" 9.374001"	" 9.398600"	" 9.458150"	" 9.423424"	" 9.080997"	" 9.062182"	" 9.079168"	" 9.038088"	" 9.060328"	" 9.054573"	" 9.116645"	" 9.120291"	" 9.199707"	" 9.070968"	" 9.185200"
""	""	""	""	""	" 277.14070"	""	""	""	" 495.61353"	""	""	""	""	""	""	""	""	""	""	""	" 8.131032"	" 7.516938"	" 7.556590"	" 7.624252"	" 7.612765"	""	" 6.848949"	" 7.052292"	" 7.152112"	" 7.207230"	" 7.271935"	" 7.570194"	" 7.040592"	" 7.582943"	" 7.316957"	" 7.361823"	" 7.281146"	" 8.635194"	" 8.744350"	" 8.919590"	" 8.782063"	" 8.816337"	" 9.002604"	" 8.942467"	" 9.032795"	" 8.909834"	" 8.967237"	" 9.098060"
""	""	""	""	""	" 277.13807"	""	""	""	" 739.86536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.432837"	" 6.665551"	""	""	" 6.439836"	" 7.307991"	" 7.312484"	" 6.841359"	" 7.048505"	" 7.090517"	" 6.758680"	" 6.755555"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 277.19189"	""	""	""	" 879.90504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.293932"	" 7.305962"	" 6.967367"	" 7.430939"	" 7.430740"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 277.14393"	""	""	""	" 372.87075"	""	""	""	""	""	""	""	""	""	""	""	" 9.510627"	" 9.536823"	" 9.564802"	" 9.555323"	" 9.531195"	" 9.378798"	" 9.502585"	" 9.553267"	" 9.412229"	" 9.438417"	" 9.555661"	" 9.546869"	" 9.478260"	" 9.477617"	" 9.418871"	" 9.469819"	" 9.543888"	" 9.106706"	" 9.164662"	" 9.085653"	" 9.161103"	" 9.198072"	" 9.208104"	" 9.223362"	" 9.300748"	" 9.304670"	" 9.180122"	" 9.262435"
""	""	""	""	""	" 277.94794"	""	""	""	"1141.88834"	""	""	""	""	""	""	""	""	""	""	""	" 7.406289"	" 6.464861"	""	" 5.935196"	" 6.724930"	" 6.319658"	""	""	""	""	""	""	""	""	" 5.614166"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 277.99367"	""	""	""	"  90.15357"	""	""	""	""	""	""	""	""	""	""	""	" 6.637494"	" 6.772700"	""	""	" 6.784475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 278.14363"	""	""	""	" 373.28441"	""	""	""	""	""	""	""	""	""	""	""	" 7.188627"	" 7.007168"	" 7.023980"	" 7.202648"	" 7.237938"	" 7.070890"	" 7.181160"	" 7.150066"	" 6.973363"	" 7.221342"	" 7.270787"	" 7.257321"	" 6.753989"	" 7.160617"	" 6.952265"	" 7.038183"	" 7.131910"	""	" 6.792802"	" 6.861971"	" 6.696323"	" 6.734677"	" 6.529741"	" 6.685891"	" 6.976819"	" 6.997918"	" 6.864781"	" 6.836978"
""	""	""	""	""	" 278.09857"	""	""	""	" 319.48454"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.238577"	""	" 5.924170"	""	" 7.355483"	""	""	""	" 7.684905"	" 7.065624"	" 6.427963"	" 6.459491"	""	" 6.850296"	" 7.069017"	""	""	" 6.817170"	" 6.701036"	" 6.880924"	" 6.955645"	" 6.655224"	" 6.736198"	" 7.025773"	" 6.421973"	" 6.802275"	" 7.019182"
""	""	""	""	""	" 278.14437"	""	""	""	" 495.64723"	""	""	""	""	""	""	""	""	""	""	""	" 6.233186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.920217"	" 6.817743"	" 6.741101"	" 7.068291"	" 6.800687"	" 7.189053"	" 7.061920"	" 7.331797"	" 7.254336"	" 7.225901"	""
""	""	""	""	""	" 278.23074"	""	""	""	"1085.84099"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.822329"	""	""	""	""	""	""	""	""	" 5.958374"	""	" 7.369859"	" 7.384547"	""	" 7.009457"	" 7.278818"	""	" 6.445865"	""	" 7.397552"
""	""	""	""	""	" 279.02982"	""	""	""	" 481.25366"	""	""	""	""	""	""	""	""	""	""	""	" 7.603691"	" 7.657459"	" 7.567850"	" 7.533958"	" 7.728123"	" 6.655657"	""	" 6.194352"	" 6.587861"	" 6.531041"	" 6.573703"	" 6.533486"	" 6.360080"	" 6.545334"	" 6.784305"	" 6.555710"	" 6.649690"	""	""	""	""	""	""	" 5.249715"	""	""	""	""
""	""	""	""	""	" 279.03510"	""	""	""	" 387.26533"	""	""	""	""	""	""	""	""	""	""	""	" 6.134837"	" 6.259230"	""	""	" 6.210504"	" 6.658247"	" 6.898238"	" 6.971771"	""	""	""	""	""	""	""	""	""	" 8.180013"	" 8.006080"	" 7.976230"	" 8.250448"	" 8.032721"	" 7.590707"	""	""	""	""	""
""	""	""	""	""	" 278.89795"	""	""	""	"  25.91076"	""	""	""	""	""	""	""	""	""	""	""	" 5.968390"	" 6.181974"	" 5.897769"	""	""	""	""	""	""	""	""	" 5.211975"	""	""	""	""	" 5.581609"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 279.15970"	""	""	""	" 737.73041"	""	""	""	""	""	""	""	""	""	""	""	" 9.951605"	" 9.781594"	" 9.714569"	" 9.671632"	" 9.813942"	" 8.946019"	" 9.068261"	" 8.525095"	" 9.044312"	" 8.865815"	" 8.851487"	" 8.856142"	" 8.763706"	" 8.637120"	" 8.552906"	" 8.450510"	" 8.570341"	" 8.411918"	" 8.522090"	" 8.546531"	" 8.336736"	" 8.551910"	" 8.331900"	" 8.504210"	" 8.163139"	" 8.698947"	" 8.663531"	" 8.339715"
""	""	""	""	""	" 278.96514"	""	""	""	"1104.61787"	""	""	""	""	""	""	""	""	""	""	""	" 5.092344"	""	""	""	""	" 8.700728"	" 7.866328"	""	" 9.567534"	""	" 8.640303"	" 8.600909"	" 7.590799"	""	""	""	""	" 8.449731"	""	""	" 8.269934"	" 7.564204"	" 8.448317"	" 7.994468"	" 8.101991"	""	""	" 7.942112"
""	""	""	""	""	" 279.07592"	""	""	""	"  92.98322"	""	""	""	""	""	""	""	""	""	""	""	" 6.846522"	" 6.787210"	" 7.071085"	" 6.653493"	" 6.771922"	""	""	" 7.235694"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 279.13348"	""	""	""	" 374.14794"	""	""	""	""	""	""	""	""	""	""	""	" 9.140032"	" 9.006490"	" 8.918329"	" 8.895377"	" 8.999821"	"10.510061"	" 9.982542"	"10.075452"	"10.252717"	"10.249972"	"10.250468"	"10.285742"	"10.006099"	"10.205840"	"10.448635"	"10.228191"	"10.202333"	"10.253389"	"10.113125"	"10.113156"	"10.138259"	"10.216492"	"10.002694"	"10.236834"	"10.049313"	"10.230031"	" 9.852696"	"10.215588"
""	""	""	""	""	" 279.13382"	""	""	""	" 326.55998"	""	""	""	""	""	""	""	""	""	""	""	" 7.414072"	" 7.614190"	" 7.721008"	" 7.866222"	" 7.962925"	" 7.173170"	" 7.115551"	" 7.072157"	" 7.425310"	" 7.426704"	" 8.118796"	" 8.020786"	" 7.953406"	" 8.158436"	" 8.261429"	" 8.639636"	" 8.738443"	""	""	""	" 7.558151"	" 7.438082"	""	""	""	""	" 5.993701"	" 6.458965"
""	""	""	""	""	" 279.22776"	""	""	""	" 921.10559"	""	""	""	""	""	""	""	""	""	""	""	" 7.907987"	""	""	""	""	" 7.833613"	" 7.368496"	""	" 7.729760"	" 7.442434"	" 8.055158"	" 8.049059"	" 7.425749"	" 7.568916"	" 7.619316"	" 7.573416"	" 7.624252"	" 7.492524"	" 7.163327"	" 7.107445"	" 7.409199"	" 7.562478"	" 7.494955"	" 7.113481"	" 7.299624"	" 6.812952"	" 6.796564"	" 7.535045"
""	""	""	""	""	" 279.58637"	""	""	""	" 386.83528"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.959740"	" 6.917389"	""	" 6.903611"	" 7.209388"	" 6.867233"	" 7.287925"	" 6.918519"	" 6.790916"	" 6.901286"	" 6.737792"	""	" 6.498186"	" 6.818845"	""	" 6.732602"	" 6.519892"	" 6.743454"
""	""	""	""	""	" 280.02992"	""	""	""	" 480.55389"	""	""	""	""	""	""	""	""	""	""	""	" 6.383691"	" 5.886923"	" 5.832985"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 280.13694"	""	""	""	" 375.02311"	""	""	""	""	""	""	""	""	""	""	""	" 7.308712"	" 7.105854"	" 6.359435"	" 6.935340"	" 6.779267"	" 8.711877"	" 8.132810"	" 8.264866"	" 8.462647"	" 8.481289"	" 8.538468"	" 8.500008"	" 8.307302"	" 8.441293"	" 8.578691"	" 8.432854"	" 8.355243"	" 8.489385"	" 8.303303"	" 8.310581"	" 8.323127"	" 8.261134"	" 8.297296"	" 8.388744"	" 8.302018"	" 8.367493"	" 8.057289"	" 8.436333"
""	""	""	""	""	" 280.13630"	""	""	""	" 326.48981"	""	""	""	""	""	""	""	""	""	""	""	" 5.980080"	" 5.707296"	""	" 5.153797"	" 5.448942"	""	""	""	" 5.053542"	""	" 6.462642"	" 6.020868"	""	" 5.911512"	" 6.544409"	" 6.765713"	" 6.851718"	""	""	""	" 5.563823"	""	""	""	""	""	""	""
""	""	""	""	""	" 280.16290"	""	""	""	" 737.39955"	""	""	""	""	""	""	""	""	""	""	""	" 8.330443"	" 8.293818"	""	" 7.969222"	" 8.344918"	" 7.319187"	" 7.377359"	""	""	" 6.786374"	" 7.045581"	""	""	""	""	""	""	""	" 5.922372"	""	""	" 6.580717"	""	""	""	""	""	""
""	""	""	""	""	" 280.22349"	""	""	""	" 687.36626"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.076210"	""	""	" 7.111016"	" 6.984005"	" 7.789444"	""	""	" 7.861185"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 281.05603"	""	""	""	"1097.42410"	""	""	""	""	""	""	""	""	""	""	""	" 6.764943"	""	""	" 6.364033"	""	""	" 6.598494"	" 6.400998"	" 6.714890"	" 6.432114"	" 6.903607"	" 6.750717"	" 6.624478"	" 6.576192"	" 6.835702"	" 6.319586"	" 6.403900"	""	""	""	" 6.504960"	" 6.554342"	" 6.183632"	" 6.293724"	" 6.054248"	" 6.277151"	" 6.307064"	""
""	""	""	""	""	" 280.99376"	""	""	""	"1141.86298"	""	""	""	""	""	""	""	""	""	""	""	" 6.543379"	""	" 5.809043"	" 5.639531"	" 5.856637"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 281.10093"	""	""	""	" 386.18193"	""	""	""	""	""	""	""	""	""	""	""	" 7.657661"	" 7.748777"	" 7.692599"	" 7.778473"	" 7.885492"	" 6.257300"	" 6.528589"	" 6.594225"	" 6.507373"	" 6.712686"	" 8.555108"	" 8.637358"	" 8.197659"	" 8.480920"	" 8.555885"	" 8.393000"	" 8.442465"	" 8.523493"	" 8.678472"	" 8.674303"	" 8.490951"	" 8.454953"	" 8.382829"	" 8.639264"	" 8.637597"	" 8.801833"	" 8.478852"	" 8.784650"
""	""	""	""	""	" 281.17223"	""	""	""	" 638.22222"	""	""	""	""	""	""	""	""	""	""	""	" 8.888276"	" 8.412888"	" 8.276956"	" 8.257369"	" 8.382368"	" 7.761592"	" 7.815885"	" 7.883341"	" 7.951891"	" 7.953760"	" 8.728388"	" 8.837243"	" 8.622953"	" 8.688357"	" 8.556075"	" 8.715947"	" 8.731525"	" 8.306259"	" 8.469719"	" 8.565535"	" 8.097683"	" 8.333210"	" 8.223425"	" 8.445108"	" 8.624946"	" 8.599526"	" 8.621865"	" 8.585087"
""	""	""	""	""	" 281.17194"	""	""	""	" 717.51142"	""	""	""	""	""	""	""	""	""	""	""	" 8.868616"	" 8.663705"	" 8.566879"	" 8.418021"	" 8.729734"	" 8.244653"	" 8.178814"	" 8.129151"	" 8.293397"	" 8.270950"	""	""	""	" 5.942862"	""	""	""	""	" 7.047921"	""	" 7.297124"	" 6.491852"	" 5.790790"	" 6.256656"	" 7.676996"	" 6.361178"	""	" 6.364654"
