"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Mice_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_5"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_6"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_7"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_8"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_9"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_10"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_11"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_6_12"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_2"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_3"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_4"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_5"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_12_6"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
