"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Site]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Harvest date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fresh weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"ALB_QC"	"study reference pool"	""	""	"Exudate"	""	""	"Regierungsbezirk Schwaben"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00009272"	""	""	""	"0"	""	""	""	"Sample collection"	"AEGQC"
"HAI_QC"	"study reference pool"	""	""	"Exudate"	""	""	"Nationalpark Hainich"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00089852"	""	""	""	"0"	""	""	""	"Sample collection"	"HEGQC"
"SCH_QC"	"study reference pool"	""	""	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	""	""	""	"0"	""	""	""	"Sample collection"	"SEGQC"
"SCH01_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.1276"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN001"
"SCH01_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.192"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN003"
"SCH01_Pl.la."	"Plantago lanceolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/39414"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.333"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN004"
"SCH01_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"1.3932"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN006"
"SCH01_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.4215"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN008"
"SCH01_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"1.7292"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN009"
"SCH02_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.3342"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN011"
"SCH02_Ga.mo."	"Galium mollugo"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/254777"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.2184"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN012"
"SCH02_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.1141"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN013"
"SCH02_Pl.la."	"Plantago lanceolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/39414"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"1.902"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN014"
"SCH02_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.2791"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN015"
"SCH02_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"4.3511"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN016"
"SCH02_Ar.el."	"Arrhenatherum elatius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52139"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"1.0922"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN017"
"SCH02_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"3.5212"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN018"
"SCH02_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"5.587"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN019"
"SCH02_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.7966"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN020"
