"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Plant collection]"	"Term Source REF"	"Term Accession Number"
"British Bluebell-1"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha01"	"24-Mar-14"	""	""
"British Bluebell-2"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha02"	"03-Apr-14"	""	""
"British Bluebell-3"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha03"	"16-Apr-14"	""	""
"British Bluebell-4"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha04"	"01-May-14"	""	""
"British Bluebell-5"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha05"	"15-May-14"	""	""
"British Bluebell-6"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha06"	"29-May-14"	""	""
"British Bluebell-7"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha07"	"12-Jun-14"	""	""
"British Bluebell-8"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha08"	"03-Jul-14"	""	""
"British Bluebell-9"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha09"	"17-Jul-14"	""	""
"British Bluebell-10"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha10"	"30-Jul-14"	""	""
"British Bluebell-11"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha11"	"13-Aug-14"	""	""
"British Bluebell-12"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha12"	"29-Oct-14"	""	""
