"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Mutant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_2"	"pct1-2"	""	""	"callus"	""	""	"2"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_3"	"pct1-2"	""	""	"callus"	""	""	"3"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_4"	"pct1-2"	""	""	"callus"	""	""	"4"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_5"	"pct1-2"	""	""	"callus"	""	""	"5"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_1"	"pct1-2"	""	""	"reg-shoot"	""	""	"1"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_2"	"pct1-2"	""	""	"reg-shoot"	""	""	"2"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_3"	"pct1-2"	""	""	"reg-shoot"	""	""	"3"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_4"	"pct1-2"	""	""	"reg-shoot"	""	""	"4"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_5"	"pct1-2"	""	""	"reg-shoot"	""	""	"5"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"pct1-2_cotyledon_1"	"pct1-2"	""	""	"cotyledon"	""	""	"1"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"pct1-2_cotyledon_2"	"pct1-2"	""	""	"cotyledon"	""	""	"2"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"pct1-2_cotyledon_3"	"pct1-2"	""	""	"cotyledon"	""	""	"3"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"pct1-2_cotyledon_4"	"pct1-2"	""	""	"cotyledon"	""	""	"4"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"pct1-2_cotyledon_5"	"pct1-2"	""	""	"cotyledon"	""	""	"5"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"shr_callus_1"	"shr"	""	""	"callus"	""	""	"1"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"shr_callus_2"	"shr"	""	""	"callus"	""	""	"2"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"shr_callus_3"	"shr"	""	""	"callus"	""	""	"3"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"shr_callus_4"	"shr"	""	""	"callus"	""	""	"4"	""	""
