"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V13_BALF"	"200"	"plaque forming unit "	"UO"	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V14_BALF"	"200"	"plaque forming unit "	"UO"	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V15_BALF"	"200"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V16_BALF"	"200"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V19_BALF"	"200"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_PR8_V20_BALF"	"200"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V21_BALF"	"200000"	"plaque forming unit "	"UO"	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V22_BALF"	"200000"	"plaque forming unit "	"UO"	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V23_BALF"	"200000"	"plaque forming unit "	"UO"	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V24_BALF"	"200000"	"plaque forming unit "	"UO"	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V25_BALF"	"200000"	"plaque forming unit "	"UO"	""	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
