"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_23"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_24"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_25"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_26"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_27"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_28"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_29"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_30"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_31"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_32"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
